algo_model,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,true_label_vs_embedding_spearman,est_label_vs_embedding_spearman
aimai_none,0,0,0,0,0,17,0,0,-0.2683***,-0.2682***
bao_none,0,0,0,0,0,17,0,0,0.0057,0.0187
e2e_cost_none,0,0,0,0,0,17,0,0,-0.3503***,0.0006
llm_Qwen-Qwen3-Embedding-0.6B,0,0,0,0,0,17,0,0,-0.0715,-0.0643
llm_Qwen-Qwen3-Embedding-4B,0,0,0,0,0,17,0,0,-0.0715,-0.0624
llm_Qwen-Qwen3-Embedding-8B,0,0,0,0,0,17,0,0,-0.0715,-0.0639
llm_answerdotai-ModernBERT-base,0,0,0,0,0,17,0,0,-0.0546,-0.0554
llm_bert-base-uncased,0,0,0,0,0,17,0,0,0.0089,0.0124
llm_google-gemma-3-12b-pt,0,0,0,0,0,17,0,0,-0.0521,-0.0566
llm_google-gemma-3-1b-pt,0,0,0,0,0,17,0,0,-0.0520,-0.0548
llm_google-gemma-3-4b-pt,0,0,0,0,0,17,0,0,-0.0522,-0.0558
llm_meta-llama-Llama-3.1-8B,0,0,0,0,0,17,0,0,-0.0816,-0.0768
llm_meta-llama-Llama-3.2-1B,0,0,0,0,0,17,0,0,-0.0816,-0.0840
llm_meta-llama-Llama-3.2-3B,0,0,0,0,0,17,0,0,-0.0816,-0.0851
llm_sentence-transformers-all-MiniLM-L6-v2,0,0,0,0,0,17,0,0,0.0089,0.0143
qf_none,0,0,0,0,0,17,0,0,0.2434***,0.1819***
