method,hv_pct_mean,hv_pct_std,true_found_mean,true_found_std,n_frontier_mean,true_total,n_seeds
Ours (Metadata-Only Maximin),96.4,2.0,1.9,0.9,3.9,9,10
"Combined (lw=5, fw=3)",95.9,3.1,1.8,1.0,4.1,9,10
Latency-Only Spacing,88.2,4.7,1.0,0.5,4.0,9,10
Random,85.3,5.3,1.0,0.7,4.0,9,10
Uniform Latency,84.6,7.0,0.4,0.7,4.5,9,10
Smallest-N,85.9,0.0,2.0,0.0,2.0,9,10
Largest-N,70.4,0.0,1.0,0.0,5.0,9,10
