method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
"Combined (lw=5, fw=3)",25,46,175130.84664679496,98.57,5,4,9
"Combined (lw=5, fw=3)",25,47,174250.25290349816,98.08,7,3,9
"Combined (lw=5, fw=3)",25,48,172689.7603232328,97.2,7,1,9
"Combined (lw=5, fw=3)",25,49,173628.16773311375,97.73,5,3,9
"Combined (lw=5, fw=3)",25,50,173200.88757789746,97.49,7,2,9
"Combined (lw=5, fw=3)",25,51,175145.88948013115,98.58,5,4,9
Latency-Only Spacing,25,42,176828.32562728866,99.53,4,4,9
Latency-Only Spacing,25,43,164323.8047544511,92.49,6,2,9
Latency-Only Spacing,25,44,164905.78931789126,92.82,8,2,9
Latency-Only Spacing,25,45,165618.90219558615,93.22,6,2,9
Latency-Only Spacing,25,46,164323.8047544511,92.49,6,2,9
Latency-Only Spacing,25,47,165582.77022915284,93.2,6,2,9
Latency-Only Spacing,25,48,164649.6288738092,92.67,5,2,9
Latency-Only Spacing,25,49,165104.03988497477,92.93,7,1,9
Latency-Only Spacing,25,50,166394.65971989013,93.66,5,2,9
Latency-Only Spacing,25,51,164323.8047544511,92.49,6,2,9
Random,25,42,168242.3785812059,94.7,5,3,9
Random,25,43,150955.6278801493,84.97,3,1,9
Random,25,44,162456.33415967438,91.44,4,2,9
Random,25,45,164420.03393141882,92.54,6,3,9
Random,25,46,174157.2021314294,98.02,8,4,9
Random,25,47,174018.27230525823,97.95,4,2,9
Random,25,48,162204.12047014423,91.3,6,0,9
Random,25,49,166313.7084545648,93.61,7,2,9
Random,25,50,156667.86806638152,88.18,5,2,9
Random,25,51,174899.40529380966,98.44,4,2,9
Uniform Latency,25,42,162373.3897471679,91.39,7,0,9
Uniform Latency,25,43,157956.7726984058,88.91,8,0,9
Uniform Latency,25,44,157036.69767871517,88.39,4,0,9
Uniform Latency,25,45,160047.31248329187,90.08,9,0,9
Uniform Latency,25,46,167932.68018841575,94.52,4,2,9
Uniform Latency,25,47,159306.28127672273,89.67,9,0,9
Uniform Latency,25,48,172333.69547845062,97.0,4,1,9
Uniform Latency,25,49,161408.35570389294,90.85,7,1,9
Uniform Latency,25,50,164049.9364931093,92.34,5,2,9
Uniform Latency,25,51,155954.8025231367,87.78,4,0,9
Largest-N,25,42,145830.33473688646,82.08,9,1,9
Largest-N,25,43,145830.33473688646,82.08,9,1,9
Largest-N,25,44,145830.33473688646,82.08,9,1,9
Largest-N,25,45,145830.33473688646,82.08,9,1,9
Largest-N,25,46,145830.33473688646,82.08,9,1,9
Largest-N,25,47,145830.33473688646,82.08,9,1,9
Largest-N,25,48,145830.33473688646,82.08,9,1,9
Largest-N,25,49,145830.33473688646,82.08,9,1,9
Largest-N,25,50,145830.33473688646,82.08,9,1,9
Largest-N,25,51,145830.33473688646,82.08,9,1,9
Smallest-N,25,42,152571.79083222587,85.88,2,2,9
Smallest-N,25,43,152571.79083222587,85.88,2,2,9
Smallest-N,25,44,152571.79083222587,85.88,2,2,9
Smallest-N,25,45,152571.79083222587,85.88,2,2,9
Smallest-N,25,46,152571.79083222587,85.88,2,2,9
Smallest-N,25,47,152571.79083222587,85.88,2,2,9
Smallest-N,25,48,152571.79083222587,85.88,2,2,9
Smallest-N,25,49,152571.79083222587,85.88,2,2,9
Smallest-N,25,50,152571.79083222587,85.88,2,2,9
Smallest-N,25,51,152571.79083222587,85.88,2,2,9
Ours (Metadata-Only Maximin),30,42,173824.1011009616,97.84,7,3,9
Ours (Metadata-Only Maximin),30,43,175143.3018224232,98.58,6,4,9
Ours (Metadata-Only Maximin),30,44,176119.5846870408,99.13,5,4,9
Ours (Metadata-Only Maximin),30,45,174690.22565975212,98.32,6,1,9
Ours (Metadata-Only Maximin),30,46,175143.3018224232,98.58,6,4,9
Ours (Metadata-Only Maximin),30,47,175028.26764078264,98.51,5,4,9
Ours (Metadata-Only Maximin),30,48,172470.8299938475,97.08,8,2,9
Ours (Metadata-Only Maximin),30,49,172994.57498342879,97.37,5,2,9
Ours (Metadata-Only Maximin),30,50,174362.31817147363,98.14,5,3,9
Ours (Metadata-Only Maximin),30,51,175429.65162360785,98.74,6,4,9
"Combined (lw=5, fw=3)",30,42,173820.62967500323,97.84,6,2,9
"Combined (lw=5, fw=3)",30,43,174158.10948839903,98.03,8,4,9
"Combined (lw=5, fw=3)",30,44,176119.5846870408,99.13,5,4,9
"Combined (lw=5, fw=3)",30,45,176267.62022494618,99.21,5,3,9
"Combined (lw=5, fw=3)",30,46,175130.84664679496,98.57,5,4,9
"Combined (lw=5, fw=3)",30,47,175028.26764078264,98.51,5,4,9
"Combined (lw=5, fw=3)",30,48,172698.79110534082,97.2,8,1,9
"Combined (lw=5, fw=3)",30,49,173628.16773311375,97.73,5,3,9
"Combined (lw=5, fw=3)",30,50,174362.31817147363,98.14,5,3,9
"Combined (lw=5, fw=3)",30,51,175692.90435785716,98.89,6,4,9
Latency-Only Spacing,30,42,176828.32562728866,99.53,4,4,9
Latency-Only Spacing,30,43,164687.1081413973,92.69,7,2,9
Latency-Only Spacing,30,44,164905.78931789126,92.82,8,2,9
Latency-Only Spacing,30,45,165982.20558253236,93.42,7,2,9
Latency-Only Spacing,30,46,164760.03222668177,92.74,8,2,9
Latency-Only Spacing,30,47,165946.07361609905,93.4,7,2,9
Latency-Only Spacing,30,48,165154.51189277176,92.96,7,2,9
Latency-Only Spacing,30,49,165104.03988497477,92.93,7,1,9
Latency-Only Spacing,30,50,166431.06824662737,93.68,6,2,9
Latency-Only Spacing,30,51,164760.03222668177,92.74,8,2,9
Random,30,42,161117.31257531195,90.69,8,1,9
Random,30,43,172175.94013633937,96.91,6,3,9
Random,30,44,165004.41424837246,92.87,5,3,9
Random,30,45,162520.1701881823,91.47,7,1,9
Random,30,46,174460.76587287046,98.2,7,3,9
Random,30,47,154603.61155418016,87.02,6,2,9
Random,30,48,171546.34142944534,96.56,7,5,9
Random,30,49,167578.49661353684,94.32,5,4,9
Random,30,50,168274.87016372726,94.71,5,2,9
Random,30,51,177012.75627883206,99.63,7,5,9
Uniform Latency,30,42,164413.16025118082,92.54,10,1,9
Uniform Latency,30,43,146969.56093458002,82.72,8,0,9
Uniform Latency,30,44,167497.3669857117,94.28,8,1,9
Uniform Latency,30,45,153708.6706831843,86.52,6,0,9
Uniform Latency,30,46,162375.69910879715,91.39,11,1,9
Uniform Latency,30,47,165333.36383386067,93.06,6,2,9
Uniform Latency,30,48,164054.92354338185,92.34,6,1,9
Uniform Latency,30,49,168077.63905874858,94.6,5,2,9
Uniform Latency,30,50,172028.19349288012,96.83,4,1,9
Uniform Latency,30,51,162643.99552566235,91.54,6,2,9
Largest-N,30,42,155740.5141733015,87.66,8,1,9
Largest-N,30,43,155740.5141733015,87.66,8,1,9
Largest-N,30,44,155740.5141733015,87.66,8,1,9
Largest-N,30,45,155740.5141733015,87.66,8,1,9
Largest-N,30,46,155740.5141733015,87.66,8,1,9
Largest-N,30,47,155740.5141733015,87.66,8,1,9
Largest-N,30,48,155740.5141733015,87.66,8,1,9
Largest-N,30,49,155740.5141733015,87.66,8,1,9
Largest-N,30,50,155740.5141733015,87.66,8,1,9
Largest-N,30,51,155740.5141733015,87.66,8,1,9
Smallest-N,30,42,152571.79083222587,85.88,2,2,9
Smallest-N,30,43,152571.79083222587,85.88,2,2,9
Smallest-N,30,44,152571.79083222587,85.88,2,2,9
Smallest-N,30,45,152571.79083222587,85.88,2,2,9
Smallest-N,30,46,152571.79083222587,85.88,2,2,9
Smallest-N,30,47,152571.79083222587,85.88,2,2,9
Smallest-N,30,48,152571.79083222587,85.88,2,2,9
Smallest-N,30,49,152571.79083222587,85.88,2,2,9
Smallest-N,30,50,152571.79083222587,85.88,2,2,9
Smallest-N,30,51,152571.79083222587,85.88,2,2,9
