method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Latency-Only Spacing,7,48,117915.76937376741,66.37,4,0,9
Latency-Only Spacing,7,49,155844.29638176644,87.72,3,0,9
Latency-Only Spacing,7,50,132961.2584583543,74.84,4,1,9
Latency-Only Spacing,7,51,149942.07417644773,84.4,4,0,9
Random,7,42,171626.18340915898,96.6,4,1,9
Random,7,43,121908.17193997996,68.62,2,0,9
Random,7,44,154890.92097507167,87.18,3,1,9
Random,7,45,129031.44182248187,72.63,2,0,9
Random,7,46,154269.12916973556,86.83,4,0,9
Random,7,47,173010.23527552007,97.38,2,2,9
Random,7,48,131104.23048561485,73.79,1,1,9
Random,7,49,133994.11101285653,75.42,2,0,9
Random,7,50,173468.21203448306,97.64,3,2,9
Random,7,51,132564.6222442667,74.61,5,0,9
Uniform Latency,7,42,148806.95813625955,83.76,3,0,9
Uniform Latency,7,43,153829.51127407106,86.58,2,1,9
Uniform Latency,7,44,149036.8566215975,83.89,2,0,9
Uniform Latency,7,45,128079.00404595025,72.09,2,0,9
Uniform Latency,7,46,146227.6389647626,82.3,3,0,9
Uniform Latency,7,47,135262.6357502775,76.13,4,0,9
Uniform Latency,7,48,153507.42310156158,86.4,6,0,9
Uniform Latency,7,49,151130.90044986625,85.06,4,0,9
Uniform Latency,7,50,136970.98928243067,77.09,3,0,9
Uniform Latency,7,51,154759.6294850757,87.11,3,1,9
Largest-N,7,42,109402.67685264489,61.58,3,1,9
Largest-N,7,43,109402.67685264489,61.58,3,1,9
Largest-N,7,44,109402.67685264489,61.58,3,1,9
Largest-N,7,45,109402.67685264489,61.58,3,1,9
Largest-N,7,46,109402.67685264489,61.58,3,1,9
Largest-N,7,47,109402.67685264489,61.58,3,1,9
Largest-N,7,48,109402.67685264489,61.58,3,1,9
Largest-N,7,49,109402.67685264489,61.58,3,1,9
Largest-N,7,50,109402.67685264489,61.58,3,1,9
Largest-N,7,51,109402.67685264489,61.58,3,1,9
Smallest-N,7,42,128043.67013349276,72.07,1,1,9
Smallest-N,7,43,128043.67013349276,72.07,1,1,9
Smallest-N,7,44,128043.67013349276,72.07,1,1,9
Smallest-N,7,45,128043.67013349276,72.07,1,1,9
Smallest-N,7,46,128043.67013349276,72.07,1,1,9
Smallest-N,7,47,128043.67013349276,72.07,1,1,9
Smallest-N,7,48,128043.67013349276,72.07,1,1,9
Smallest-N,7,49,128043.67013349276,72.07,1,1,9
Smallest-N,7,50,128043.67013349276,72.07,1,1,9
Smallest-N,7,51,128043.67013349276,72.07,1,1,9
Ours (Metadata-Only Maximin),10,42,165859.86298798423,93.35,4,2,9
Ours (Metadata-Only Maximin),10,43,167182.15404125248,94.1,3,2,9
Ours (Metadata-Only Maximin),10,44,174485.82318515913,98.21,3,3,9
Ours (Metadata-Only Maximin),10,45,174037.1992594481,97.96,3,1,9
Ours (Metadata-Only Maximin),10,46,172364.56853335947,97.02,4,2,9
Ours (Metadata-Only Maximin),10,47,169515.28998022704,95.41,4,2,9
Ours (Metadata-Only Maximin),10,48,161473.2496974117,90.89,3,1,9
Ours (Metadata-Only Maximin),10,49,172783.9600609295,97.25,3,2,9
Ours (Metadata-Only Maximin),10,50,171823.58135984163,96.71,3,1,9
Ours (Metadata-Only Maximin),10,51,174795.53633773525,98.38,4,2,9
"Combined (lw=5, fw=3)",10,42,159144.96804251897,89.57,3,1,9
"Combined (lw=5, fw=3)",10,43,167182.15404125248,94.1,3,2,9
"Combined (lw=5, fw=3)",10,44,174485.82318515913,98.21,3,3,9
"Combined (lw=5, fw=3)",10,45,174818.18291039768,98.4,4,2,9
"Combined (lw=5, fw=3)",10,46,172364.56853335947,97.02,4,2,9
"Combined (lw=5, fw=3)",10,47,169515.28998022704,95.41,4,2,9
"Combined (lw=5, fw=3)",10,48,154582.62031890714,87.01,3,0,9
"Combined (lw=5, fw=3)",10,49,172783.9600609295,97.25,3,2,9
"Combined (lw=5, fw=3)",10,50,171823.58135984163,96.71,3,1,9
"Combined (lw=5, fw=3)",10,51,174795.53633773525,98.38,4,2,9
Latency-Only Spacing,10,42,148991.54916234268,83.86,2,1,9
Latency-Only Spacing,10,43,163433.90969014645,91.99,4,1,9
Latency-Only Spacing,10,44,157458.52907869124,88.63,3,1,9
Latency-Only Spacing,10,45,165204.43550495998,92.99,4,1,9
Latency-Only Spacing,10,46,163433.90969014645,91.99,4,1,9
Latency-Only Spacing,10,47,142470.26205895137,80.19,2,0,9
Latency-Only Spacing,10,48,125890.76207289817,70.86,4,0,9
