method,hv_pct_mean,hv_pct_std,true_found_mean,true_found_std,n_frontier_mean,true_total,n_seeds
Ours (Metadata-Only Maximin),95.9,2.5,1.8,0.6,3.4,9,10
"Combined (lw=5, fw=3)",95.2,3.9,1.7,0.8,3.4,9,10
Latency-Only Spacing,86.9,7.0,0.7,0.5,3.4,9,10
Random,85.6,6.4,1.3,1.2,3.7,9,10
Uniform Latency,83.5,5.1,0.4,0.5,3.7,9,10
Smallest-N,78.5,0.0,1.0,0.0,2.0,9,10
Largest-N,70.2,0.0,1.0,0.0,4.0,9,10
