method,hv_pct_mean,hv_pct_std,true_found_mean,true_found_std,n_frontier_mean,true_total,n_seeds
Ours (Metadata-Only Maximin),96.6,2.1,1.9,0.9,4.5,9,10
"Combined (lw=5, fw=3)",96.2,3.3,2.0,1.2,4.7,9,10
Latency-Only Spacing,88.7,4.5,1.2,0.4,4.2,9,10
Random,87.2,5.9,1.0,0.8,4.8,9,10
Uniform Latency,89.2,3.9,1.2,0.9,4.3,9,10
Smallest-N,85.9,0.0,2.0,0.0,2.0,9,10
Largest-N,75.4,0.0,1.0,0.0,6.0,9,10
