method,hv_pct_mean,hv_pct_std,true_found_mean,true_found_std,n_frontier_mean,true_total,n_seeds
Ours (Metadata-Only Maximin),77.5,9.5,0.7,0.7,2.5,9,10
"Combined (lw=5, fw=3)",77.2,10.4,0.8,0.6,2.1,9,10
Latency-Only Spacing,82.0,7.5,0.3,0.5,2.8,9,10
Random,76.7,9.0,0.4,0.5,2.7,9,10
Uniform Latency,69.7,9.8,0.2,0.4,2.7,9,10
Smallest-N,68.9,0.0,0.0,0.0,2.0,9,10
Largest-N,48.5,0.0,1.0,0.0,2.0,9,10
