method,hv_pct_mean,hv_pct_std,true_found_mean,true_found_std,n_frontier_mean,true_total,n_seeds
Ours (Metadata-Only Maximin),98.0,0.6,2.7,0.9,6.4,9,10
"Combined (lw=5, fw=3)",98.2,0.7,3.0,1.1,5.9,9,10
Latency-Only Spacing,93.6,2.1,2.1,0.7,5.9,9,10
Random,93.1,4.4,2.1,1.1,5.2,9,10
Uniform Latency,91.1,2.9,0.6,0.8,6.1,9,10
Smallest-N,85.9,0.0,2.0,0.0,2.0,9,10
Largest-N,82.1,0.0,1.0,0.0,9.0,9,10
