setting,budget,method,hv_pct_mean,hv_pct_std,true_found_mean
Epoch 3,5,Smallest-N,89.1,0.0,2.0
Epoch 3,5,Largest-N,34.8,0.0,0.0
Epoch 3,7,Ours (Maximin),72.3,8.7,0.2
Epoch 3,7,Random,80.1,6.1,0.4
Epoch 3,7,Smallest-N,89.2,0.0,3.0
Epoch 3,7,Largest-N,68.4,0.0,0.0
Epoch 3,10,Ours (Maximin),82.6,7.2,0.7
Epoch 3,10,Random,84.9,5.2,0.8
Epoch 3,10,Smallest-N,89.2,0.0,3.0
Epoch 3,10,Largest-N,70.1,0.0,1.0
Epoch 3,12,Ours (Maximin),90.9,3.4,1.7
Epoch 3,12,Random,84.6,7.0,0.9
Epoch 3,12,Smallest-N,89.2,0.0,3.0
Epoch 3,12,Largest-N,74.3,0.0,2.0
Epoch 3,15,Ours (Maximin),94.4,3.4,2.4
Epoch 3,15,Random,88.7,4.6,1.2
Epoch 3,15,Smallest-N,89.6,0.0,4.0
Epoch 3,15,Largest-N,77.6,0.0,2.0
Epoch 3,20,Ours (Maximin),95.6,2.9,2.6
Epoch 3,20,Random,89.6,6.6,1.8
Epoch 3,20,Smallest-N,89.6,0.0,4.0
Epoch 3,20,Largest-N,85.2,0.0,3.0
Epoch 3,25,Ours (Maximin),96.4,2.8,2.9
Epoch 3,25,Random,91.9,4.2,2.2
Epoch 3,25,Smallest-N,89.6,0.0,4.0
Epoch 3,25,Largest-N,86.3,0.0,3.0
Epoch 3,30,Ours (Maximin),98.7,0.9,3.6
Epoch 3,30,Random,93.6,3.5,2.5
Epoch 3,30,Smallest-N,89.6,0.0,5.0
Epoch 3,30,Largest-N,91.5,0.0,3.0
