metric,high_error_avg,low_error_avg,high_metric_value,low_metric_value,difference,high_plan_idx,low_plan_idx,avg_relative_value
longest_path_len,27.56696680333033,1.047416658341527,12.0,9.0,3.0,113,13,0.47143907892336895
max_log_card_error,27.56696680333033,1.047416658341527,11.900589740852865,2.862200880929468,9.038388859923398,113,13,0.47143907892336895
num_columns,27.56696680333033,1.047416658341527,236.0,51.0,185.0,113,13,0.47143907892336895
num_filters,27.56696680333033,1.047416658341527,6.0,2.0,4.0,113,13,0.47143907892336895
num_joins,27.56696680333033,1.047416658341527,7.0,2.0,5.0,113,13,0.47143907892336895
num_nested_loop,27.56696680333033,1.047416658341527,7.0,2.0,5.0,113,13,0.47143907892336895
num_nodes,27.56696680333033,1.047416658341527,19.0,12.0,7.0,113,13,0.47143907892336895
num_tables,27.56696680333033,1.047416658341527,6.0,3.0,3.0,113,13,0.47143907892336895
longest_path_len,27.56696680333033,1.0655350643826875,12.0,11.0,1.0,113,79,0.5157277988539749
max_log_card_error,27.56696680333033,1.0655350643826875,11.900589740852865,3.0293565224594894,8.871233218393376,113,79,0.5157277988539749
num_columns,27.56696680333033,1.0655350643826875,236.0,90.0,146.0,113,79,0.5157277988539749
num_filters,27.56696680333033,1.0655350643826875,6.0,2.0,4.0,113,79,0.5157277988539749
num_joins,27.56696680333033,1.0655350643826875,7.0,2.0,5.0,113,79,0.5157277988539749
num_nested_loop,27.56696680333033,1.0655350643826875,7.0,2.0,5.0,113,79,0.5157277988539749
num_nodes,27.56696680333033,1.0655350643826875,19.0,13.0,6.0,113,79,0.5157277988539749
num_tables,27.56696680333033,1.0655350643826875,6.0,3.0,3.0,113,79,0.5157277988539749
longest_path_len,27.56696680333033,1.0435464954785316,12.0,11.0,1.0,113,140,0.51575431739829
max_log_card_error,27.56696680333033,1.0435464954785316,11.900589740852865,3.0321967993072523,8.868392941545613,113,140,0.51575431739829
num_columns,27.56696680333033,1.0435464954785316,236.0,90.0,146.0,113,140,0.51575431739829
num_filters,27.56696680333033,1.0435464954785316,6.0,2.0,4.0,113,140,0.51575431739829
num_joins,27.56696680333033,1.0435464954785316,7.0,2.0,5.0,113,140,0.51575431739829
num_nested_loop,27.56696680333033,1.0435464954785316,7.0,2.0,5.0,113,140,0.51575431739829
num_nodes,27.56696680333033,1.0435464954785316,19.0,13.0,6.0,113,140,0.51575431739829
num_tables,27.56696680333033,1.0435464954785316,6.0,3.0,3.0,113,140,0.51575431739829
longest_path_len,27.56696680333033,1.0418312511834413,12.0,11.0,1.0,113,145,0.5149750971037568
max_log_card_error,27.56696680333033,1.0418312511834413,11.900589740852865,2.9487381699203734,8.951851570932492,113,145,0.5149750971037568
num_columns,27.56696680333033,1.0418312511834413,236.0,90.0,146.0,113,145,0.5149750971037568
num_filters,27.56696680333033,1.0418312511834413,6.0,2.0,4.0,113,145,0.5149750971037568
num_joins,27.56696680333033,1.0418312511834413,7.0,2.0,5.0,113,145,0.5149750971037568
num_nested_loop,27.56696680333033,1.0418312511834413,7.0,2.0,5.0,113,145,0.5149750971037568
num_nodes,27.56696680333033,1.0418312511834413,19.0,13.0,6.0,113,145,0.5149750971037568
num_tables,27.56696680333033,1.0418312511834413,6.0,3.0,3.0,113,145,0.5149750971037568
longest_path_len,27.56696680333033,1.0503020682378004,12.0,11.0,1.0,113,147,0.515910663852812
max_log_card_error,27.56696680333033,1.0503020682378004,11.900589740852865,3.048942334421575,8.85164740643129,113,147,0.515910663852812
num_columns,27.56696680333033,1.0503020682378004,236.0,90.0,146.0,113,147,0.515910663852812
num_filters,27.56696680333033,1.0503020682378004,6.0,2.0,4.0,113,147,0.515910663852812
num_joins,27.56696680333033,1.0503020682378004,7.0,2.0,5.0,113,147,0.515910663852812
num_nested_loop,27.56696680333033,1.0503020682378004,7.0,2.0,5.0,113,147,0.515910663852812
num_nodes,27.56696680333033,1.0503020682378004,19.0,13.0,6.0,113,147,0.515910663852812
num_tables,27.56696680333033,1.0503020682378004,6.0,3.0,3.0,113,147,0.515910663852812
longest_path_len,1.8445174475096362,1.047416658341527,12.0,9.0,3.0,117,13,0.4714579611579176
max_log_card_error,1.8445174475096362,1.047416658341527,11.892186902748422,2.862200880929468,9.029986021818955,117,13,0.4714579611579176
num_columns,1.8445174475096362,1.047416658341527,236.0,51.0,185.0,117,13,0.4714579611579176
num_filters,1.8445174475096362,1.047416658341527,6.0,2.0,4.0,117,13,0.4714579611579176
num_joins,1.8445174475096362,1.047416658341527,7.0,2.0,5.0,117,13,0.4714579611579176
num_nested_loop,1.8445174475096362,1.047416658341527,7.0,2.0,5.0,117,13,0.4714579611579176
num_nodes,1.8445174475096362,1.047416658341527,19.0,12.0,7.0,117,13,0.4714579611579176
num_tables,1.8445174475096362,1.047416658341527,6.0,3.0,3.0,117,13,0.4714579611579176
longest_path_len,1.8445174475096362,1.0655350643826875,12.0,11.0,1.0,117,79,0.5157477838315389
max_log_card_error,1.8445174475096362,1.0655350643826875,11.892186902748422,3.0293565224594894,8.862830380288933,117,79,0.5157477838315389
num_columns,1.8445174475096362,1.0655350643826875,236.0,90.0,146.0,117,79,0.5157477838315389
num_filters,1.8445174475096362,1.0655350643826875,6.0,2.0,4.0,117,79,0.5157477838315389
num_joins,1.8445174475096362,1.0655350643826875,7.0,2.0,5.0,117,79,0.5157477838315389
num_nested_loop,1.8445174475096362,1.0655350643826875,7.0,2.0,5.0,117,79,0.5157477838315389
num_nodes,1.8445174475096362,1.0655350643826875,19.0,13.0,6.0,117,79,0.5157477838315389
num_tables,1.8445174475096362,1.0655350643826875,6.0,3.0,3.0,117,79,0.5157477838315389
longest_path_len,1.8445174475096362,1.0435464954785316,12.0,11.0,1.0,117,140,0.5157743211134532
max_log_card_error,1.8445174475096362,1.0435464954785316,11.892186902748422,3.0321967993072523,8.85999010344117,117,140,0.5157743211134532
num_columns,1.8445174475096362,1.0435464954785316,236.0,90.0,146.0,117,140,0.5157743211134532
num_filters,1.8445174475096362,1.0435464954785316,6.0,2.0,4.0,117,140,0.5157743211134532
num_joins,1.8445174475096362,1.0435464954785316,7.0,2.0,5.0,117,140,0.5157743211134532
num_nested_loop,1.8445174475096362,1.0435464954785316,7.0,2.0,5.0,117,140,0.5157743211134532
num_nodes,1.8445174475096362,1.0435464954785316,19.0,13.0,6.0,117,140,0.5157743211134532
num_tables,1.8445174475096362,1.0435464954785316,6.0,3.0,3.0,117,140,0.5157743211134532
longest_path_len,1.8445174475096362,1.0418312511834413,12.0,11.0,1.0,117,145,0.5149945502337303
max_log_card_error,1.8445174475096362,1.0418312511834413,11.892186902748422,2.9487381699203734,8.943448732828049,117,145,0.5149945502337303
num_columns,1.8445174475096362,1.0418312511834413,236.0,90.0,146.0,117,145,0.5149945502337303
num_filters,1.8445174475096362,1.0418312511834413,6.0,2.0,4.0,117,145,0.5149945502337303
num_joins,1.8445174475096362,1.0418312511834413,7.0,2.0,5.0,117,145,0.5149945502337303
