metric,high_error_avg,low_error_avg,high_metric_value,low_metric_value,difference,high_plan_idx,low_plan_idx,avg_relative_value
longest_path_len,13119.004692117704,1.3143747079721777,6.0,2.0,4.0,452,16,0.20163342998522626
max_log_card_error,13119.004692117704,1.3143747079721777,8.639197707609851,0.0010154213525286337,8.638182286257322,452,16,0.20163342998522626
num_columns,13119.004692117704,1.3143747079721777,32.0,17.0,15.0,452,16,0.20163342998522626
num_filters,13119.004692117704,1.3143747079721777,4.0,0.0,4.0,452,16,0.20163342998522626
num_highly_selective_filters,13119.004692117704,1.3143747079721777,1.0,0.0,1.0,452,16,0.20163342998522626
num_joins,13119.004692117704,1.3143747079721777,4.0,1.0,3.0,452,16,0.20163342998522626
num_nested_loop,13119.004692117704,1.3143747079721777,4.0,0.0,4.0,452,16,0.20163342998522626
num_nodes,13119.004692117704,1.3143747079721777,10.0,3.0,7.0,452,16,0.20163342998522626
num_tables,13119.004692117704,1.3143747079721777,5.0,2.0,3.0,452,16,0.20163342998522626
longest_path_len,2534.7766021498423,1.3143747079721777,6.0,2.0,4.0,453,16,0.2016333859751493
max_log_card_error,2534.7766021498423,1.3143747079721777,8.6684097006422,0.0010154213525286337,8.667394279289672,453,16,0.2016333859751493
num_columns,2534.7766021498423,1.3143747079721777,32.0,17.0,15.0,453,16,0.2016333859751493
num_filters,2534.7766021498423,1.3143747079721777,5.0,0.0,5.0,453,16,0.2016333859751493
num_highly_selective_filters,2534.7766021498423,1.3143747079721777,2.0,0.0,2.0,453,16,0.2016333859751493
num_joins,2534.7766021498423,1.3143747079721777,4.0,1.0,3.0,453,16,0.2016333859751493
num_nested_loop,2534.7766021498423,1.3143747079721777,4.0,0.0,4.0,453,16,0.2016333859751493
num_nodes,2534.7766021498423,1.3143747079721777,10.0,3.0,7.0,453,16,0.2016333859751493
num_tables,2534.7766021498423,1.3143747079721777,5.0,2.0,3.0,453,16,0.2016333859751493
longest_path_len,1831.4468172286943,1.3143747079721777,6.0,2.0,4.0,639,16,0.2016336937762183
max_log_card_error,1831.4468172286943,1.3143747079721777,8.468149661819163,0.0010154213525286337,8.467134240466635,639,16,0.2016336937762183
num_columns,1831.4468172286943,1.3143747079721777,32.0,17.0,15.0,639,16,0.2016336937762183
num_filters,1831.4468172286943,1.3143747079721777,4.0,0.0,4.0,639,16,0.2016336937762183
num_highly_selective_filters,1831.4468172286943,1.3143747079721777,1.0,0.0,1.0,639,16,0.2016336937762183
num_joins,1831.4468172286943,1.3143747079721777,4.0,1.0,3.0,639,16,0.2016336937762183
num_nested_loop,1831.4468172286943,1.3143747079721777,4.0,0.0,4.0,639,16,0.2016336937762183
num_nodes,1831.4468172286943,1.3143747079721777,10.0,3.0,7.0,639,16,0.2016336937762183
num_tables,1831.4468172286943,1.3143747079721777,5.0,2.0,3.0,639,16,0.2016336937762183
longest_path_len,1831.4468172286943,1.3143747079721777,6.0,2.0,4.0,665,16,0.2016336937762183
max_log_card_error,1831.4468172286943,1.3143747079721777,8.468149661819163,0.0010154213525286337,8.467134240466635,665,16,0.2016336937762183
num_columns,1831.4468172286943,1.3143747079721777,32.0,17.0,15.0,665,16,0.2016336937762183
num_filters,1831.4468172286943,1.3143747079721777,4.0,0.0,4.0,665,16,0.2016336937762183
num_highly_selective_filters,1831.4468172286943,1.3143747079721777,1.0,0.0,1.0,665,16,0.2016336937762183
num_joins,1831.4468172286943,1.3143747079721777,4.0,1.0,3.0,665,16,0.2016336937762183
num_nested_loop,1831.4468172286943,1.3143747079721777,4.0,0.0,4.0,665,16,0.2016336937762183
num_nodes,1831.4468172286943,1.3143747079721777,10.0,3.0,7.0,665,16,0.2016336937762183
num_tables,1831.4468172286943,1.3143747079721777,5.0,2.0,3.0,665,16,0.2016336937762183
longest_path_len,4155.405989263348,1.3143747079721777,6.0,2.0,4.0,751,16,0.2016333859751493
max_log_card_error,4155.405989263348,1.3143747079721777,8.6684097006422,0.0010154213525286337,8.667394279289672,751,16,0.2016333859751493
num_columns,4155.405989263348,1.3143747079721777,32.0,17.0,15.0,751,16,0.2016333859751493
num_filters,4155.405989263348,1.3143747079721777,5.0,0.0,5.0,751,16,0.2016333859751493
num_highly_selective_filters,4155.405989263348,1.3143747079721777,2.0,0.0,2.0,751,16,0.2016333859751493
num_joins,4155.405989263348,1.3143747079721777,4.0,1.0,3.0,751,16,0.2016333859751493
num_nested_loop,4155.405989263348,1.3143747079721777,4.0,0.0,4.0,751,16,0.2016333859751493
num_nodes,4155.405989263348,1.3143747079721777,10.0,3.0,7.0,751,16,0.2016333859751493
num_tables,4155.405989263348,1.3143747079721777,5.0,2.0,3.0,751,16,0.2016333859751493
longest_path_len,6161.444898086828,1.3143747079721777,6.0,2.0,4.0,759,16,0.2016326356517634
max_log_card_error,6161.444898086828,1.3143747079721777,9.198695986652298,0.0010154213525286337,9.19768056529977,759,16,0.2016326356517634
num_columns,6161.444898086828,1.3143747079721777,32.0,17.0,15.0,759,16,0.2016326356517634
num_filters,6161.444898086828,1.3143747079721777,6.0,0.0,6.0,759,16,0.2016326356517634
num_highly_selective_filters,6161.444898086828,1.3143747079721777,2.0,0.0,2.0,759,16,0.2016326356517634
num_joins,6161.444898086828,1.3143747079721777,4.0,1.0,3.0,759,16,0.2016326356517634
num_nested_loop,6161.444898086828,1.3143747079721777,4.0,0.0,4.0,759,16,0.2016326356517634
num_nodes,6161.444898086828,1.3143747079721777,10.0,3.0,7.0,759,16,0.2016326356517634
num_tables,6161.444898086828,1.3143747079721777,5.0,2.0,3.0,759,16,0.2016326356517634
longest_path_len,6161.444898086828,1.0701735827001022,6.0,2.0,4.0,759,233,0.2085759802057311
max_log_card_error,6161.444898086828,1.0701735827001022,9.198695986652298,0.0009243633295010767,9.197771623322797,759,233,0.2085759802057311
num_columns,6161.444898086828,1.0701735827001022,32.0,19.0,13.0,759,233,0.2085759802057311
num_filters,6161.444898086828,1.0701735827001022,6.0,0.0,6.0,759,233,0.2085759802057311
num_highly_selective_filters,6161.444898086828,1.0701735827001022,2.0,0.0,2.0,759,233,0.2085759802057311
num_joins,6161.444898086828,1.0701735827001022,4.0,1.0,3.0,759,233,0.2085759802057311
num_nested_loop,6161.444898086828,1.0701735827001022,4.0,0.0,4.0,759,233,0.2085759802057311
num_nodes,6161.444898086828,1.0701735827001022,10.0,3.0,7.0,759,233,0.2085759802057311
num_tables,6161.444898086828,1.0701735827001022,5.0,2.0,3.0,759,233,0.2085759802057311
longest_path_len,6161.444898086828,1.1118812220568337,6.0,2.0,4.0,759,268,0.20857598498764685
max_log_card_error,6161.444898086828,1.1118812220568337,9.198695986652298,0.0009247592160033236,9.197771227436295,759,268,0.20857598498764685
num_columns,6161.444898086828,1.1118812220568337,32.0,19.0,13.0,759,268,0.20857598498764685
num_filters,6161.444898086828,1.1118812220568337,6.0,0.0,6.0,759,268,0.20857598498764685
num_highly_selective_filters,6161.444898086828,1.1118812220568337,2.0,0.0,2.0,759,268,0.20857598498764685
num_joins,6161.444898086828,1.1118812220568337,4.0,1.0,3.0,759,268,0.20857598498764685
num_nested_loop,6161.444898086828,1.1118812220568337,4.0,0.0,4.0,759,268,0.20857598498764685
num_nodes,6161.444898086828,1.1118812220568337,10.0,3.0,7.0,759,268,0.20857598498764685
num_tables,6161.444898086828,1.1118812220568337,5.0,2.0,3.0,759,268,0.20857598498764685
longest_path_len,6161.444898086828,1.1118812220568337,6.0,2.0,4.0,759,480,0.20857598498764685
max_log_card_error,6161.444898086828,1.1118812220568337,9.198695986652298,0.0009247592160033236,9.197771227436295,759,480,0.20857598498764685
num_columns,6161.444898086828,1.1118812220568337,32.0,19.0,13.0,759,480,0.20857598498764685
num_filters,6161.444898086828,1.1118812220568337,6.0,0.0,6.0,759,480,0.20857598498764685
num_highly_selective_filters,6161.444898086828,1.1118812220568337,2.0,0.0,2.0,759,480,0.20857598498764685
num_joins,6161.444898086828,1.1118812220568337,4.0,1.0,3.0,759,480,0.20857598498764685
num_nested_loop,6161.444898086828,1.1118812220568337,4.0,0.0,4.0,759,480,0.20857598498764685
num_nodes,6161.444898086828,1.1118812220568337,10.0,3.0,7.0,759,480,0.20857598498764685
num_tables,6161.444898086828,1.1118812220568337,5.0,2.0,3.0,759,480,0.20857598498764685
longest_path_len,1701.8903781829547,1.3143747079721777,6.0,2.0,4.0,760,16,0.20163302472849767
max_log_card_error,1701.8903781829547,1.3143747079721777,8.915868635164987,0.0010154213525286337,8.914853213812458,760,16,0.20163302472849767
num_columns,1701.8903781829547,1.3143747079721777,32.0,17.0,15.0,760,16,0.20163302472849767
num_filters,1701.8903781829547,1.3143747079721777,6.0,0.0,6.0,760,16,0.20163302472849767
num_highly_selective_filters,1701.8903781829547,1.3143747079721777,2.0,0.0,2.0,760,16,0.20163302472849767
num_joins,1701.8903781829547,1.3143747079721777,4.0,1.0,3.0,760,16,0.20163302472849767
num_nested_loop,1701.8903781829547,1.3143747079721777,4.0,0.0,4.0,760,16,0.20163302472849767
num_nodes,1701.8903781829547,1.3143747079721777,10.0,3.0,7.0,760,16,0.20163302472849767
num_tables,1701.8903781829547,1.3143747079721777,5.0,2.0,3.0,760,16,0.20163302472849767
