,card_ALECE_1.0_postgres_0.001_b16_h256_seed42,card_MSCN_1.0_postgres_0.001_b16_h256_seed42,card_PRICE_1.0_postgres_0.001_b16_h256_seed42,card_aimai_1.0_postgres_0.0001_b64_h256_seed42_f11111,card_bao_1.0_postgres_0.001_b16_h256_seed42,card_e2e_cost_1.0_postgres_0.001_b64_h256_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_Qwen-Qwen3-Embedding-0.6B_emb1000_quant-4-bit_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_Qwen-Qwen3-Embedding-4B_emb1000_quant-4-bit_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_Qwen-Qwen3-Embedding-8B_emb1000_quant-4-bit_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_answerdotai-ModernBERT-base_emb1000_quant-4-bit_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_bert-base-uncased_emb1000_quant-4-bit_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_google-gemma-3-12b-pt_emb1000_quant-4-bit_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_google-gemma-3-1b-pt_emb1000_quant-4-bit_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_google-gemma-3-4b-pt_emb1000_quant-4-bit_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_meta-llama-Llama-3.1-8B_emb1000_quant-4-bit_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_meta-llama-Llama-3.2-1B_emb1000_quant-4-bit_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_meta-llama-Llama-3.2-3B_emb1000_quant-4-bit_seed42,card_llm_pretrained-None_1.0_postgres_0.0001_b64_h2048_sentence-transformers-all-MiniLM-L6-v2_emb1000_quant-4-bit_seed42,card_qf_1.0_postgres_0.001_b64_h256_seed42
G1_mean_cosine,0.08935586363077164,0.0007330433581955731,0.004144493490457535,0.02330249361693859,0.011534394696354866,0.006170887500047684,0.007905666716396809,0.002228332683444023,0.00131981261074543,0.006832925137132406,0.00601666234433651,0.004894717130810022,0.0066803195513784885,0.008089786395430565,0.00867514405399561,0.007624818943440914,0.0068665118888020515,0.007533332332968712,0.0143682099878788
G2_MCC,0.5602472424507141,0.4366949200630188,0.8527777194976807,0.5877024531364441,0.658667802810669,0.4909035861492157,0.42202770709991455,0.37018150091171265,0.3820299804210663,0.6274257302284241,0.46236854791641235,0.6116310358047485,0.6188231706619263,0.6225861310958862,0.6632080078125,0.6042045950889587,0.6203271150588989,0.49197375774383545,0.7705286145210266
G2_EVR1,0.3075021505355835,0.2592318654060364,0.7783182263374329,0.4168071150779724,0.4627200663089752,0.2977883219718933,0.22300991415977478,0.1920008659362793,0.18718799948692322,0.4735881984233856,0.2676083445549011,0.4147353768348694,0.4185703992843628,0.4310831129550934,0.47369614243507385,0.40305495262145996,0.41805973649024963,0.2942182123661041,0.6703622341156006
G2_effective_rank,10.757097244262695,7.716283798217773,1.9794479608535767,3.4925897121429443,6.093145370483398,11.063358306884766,14.554561614990234,16.250429153442383,18.922269821166992,10.170281410217285,27.688613891601562,11.044185638427734,8.483805656433105,9.105883598327637,8.428141593933105,9.5989351272583,9.177933692932129,14.076143264770508,2.9516122341156006
G4_hubness_gini,0.24646289292578583,0.25027475240135666,0.21853657790021422,0.25523636973199865,0.25240020850412076,0.24565344686244928,0.2491339501197521,0.2312005290677248,0.2156782239490404,0.2517944443296295,0.2995014730770203,0.22334006149493787,0.21340144161769806,0.2265190604455283,0.22262866747955715,0.22618311162548246,0.22433390051965285,0.2638259128370109,0.23862263280082116
CKA_metrics_embeddings,0.08040541197085782,0.22125088424801267,0.0006746850846579456,0.32338286270423044,0.04725601439951205,0.2238540901462732,0.35832268029276665,0.18539224329647147,0.13843681621732862,0.24367913511201175,0.22132024867423056,0.25948638497583953,0.2612075768041338,0.30286352029278646,0.28516792493745335,0.3109289382541627,0.2859939617482602,0.3632067912602523,0.07794730348821156
CKA_embeddings_true_label,0.0349652881908784,0.04884232599008332,0.04108187959345184,0.1319596617901173,0.07490018533797348,0.05607415125341279,0.13146803928704984,0.08940741053891192,0.0675805671166294,0.05140571861966105,0.02455642568736121,0.04837580117187178,0.0506793651478541,0.051823984476132325,0.054446306632192056,0.05815458311420016,0.06445108868804304,0.0775940813068292,0.010018588449572362
CKA_embeddings_est_label,0.04924434405499292,0.20676874428357736,0.1311165473387711,0.15971353614876052,0.0906282018554291,0.09442886322613629,0.2596002673558346,0.17042248614212588,0.13285035126649278,0.1638282018376921,0.10594342537764861,0.10935896031934304,0.1304922195028628,0.1093249716941289,0.12283938660433057,0.12790878318386936,0.15672313203750532,0.23002401534473427,0.20791009275921707
