label,time,error,filtered
aimai-nan,450264.00000000006,687.02,False
bao-nan,2242746.0,190.12,False
e2e-nan,10745734.0,345.18,False
llm-Qwen-Qwen3-Embedding-0.6B,6710857.61,1211.11,False
llm-Qwen-Qwen3-Embedding-4B,34871626.12,800.26,False
llm-Qwen-Qwen3-Embedding-8B,63685784.27,348.56,False
llm-answerdotai-ModernBERT-base,3841881.69,1082.25,False
llm-bert-base-uncased,2305852.4699999997,1325.76,False
llm-google-gemma-3-12b-pt,21982625.19,1824.62,False
llm-google-gemma-3-1b-pt,5370103.69,835.03,False
llm-google-gemma-3-4b-pt,9417391.37,748.07,False
llm-meta-llama-Llama-3.1-8B,14374962.29,883.22,False
llm-meta-llama-Llama-3.2-1B,4069344.64,831.03,False
llm-meta-llama-Llama-3.2-3B,7758145.56,5048.36,False
llm-sentence-transformers-all-MiniLM-L6-v2,1515323.25,1646.62,False
qf-nan,38684396.0,1557.5,False
postgres-nan,450264.00000000006,7716.22,False
