label,time,error,filtered
aimai-nan,450264.00000000006,69.54,False
bao-nan,2242746.0,31.21,False
e2e-nan,10745734.0,20.82,False
llm-Qwen-Qwen3-Embedding-0.6B,6710857.61,71.63,False
llm-Qwen-Qwen3-Embedding-4B,34871626.12,24.56,False
llm-Qwen-Qwen3-Embedding-8B,63685784.27,17.47,False
llm-answerdotai-ModernBERT-base,3841881.69,112.67,False
llm-bert-base-uncased,2305852.4699999997,70.86,False
llm-google-gemma-3-12b-pt,21982625.19,71.84,False
llm-google-gemma-3-1b-pt,5370103.69,38.71,False
llm-google-gemma-3-4b-pt,9417391.37,54.65,False
llm-meta-llama-Llama-3.1-8B,14374962.29,46.98,False
llm-meta-llama-Llama-3.2-1B,4069344.64,52.33,False
llm-meta-llama-Llama-3.2-3B,7758145.56,71.67,False
llm-sentence-transformers-all-MiniLM-L6-v2,1515323.25,67.21,False
qf-nan,38684396.0,393.8,False
postgres-nan,450264.00000000006,3720.51,False
