label,time,error,filtered
aimai-nan,450264.00000000006,-53.483034639626034,False
bao-nan,2242746.0,-119.20051876658245,False
e2e-nan,10745734.0,-178.6932512552488,False
llm-Qwen-Qwen3-Embedding-0.6B,6710857.61,-51.92141458130682,False
llm-Qwen-Qwen3-Embedding-4B,34871626.12,-151.47996227238716,False
llm-Qwen-Qwen3-Embedding-8B,63685784.27,-212.96095981646457,False
llm-answerdotai-ModernBERT-base,3841881.69,-32.991017662295725,False
llm-bert-base-uncased,2305852.4699999997,-52.4860346643225,False
llm-google-gemma-3-12b-pt,21982625.19,-51.769527122164725,False
llm-google-gemma-3-1b-pt,5370103.69,-96.10196957599265,False
llm-google-gemma-3-4b-pt,9417391.37,-68.06417666135518,False
llm-meta-llama-Llama-3.1-8B,14374962.29,-79.1808592889425,False
llm-meta-llama-Llama-3.2-1B,4069344.64,-71.0830109708976,False
llm-meta-llama-Llama-3.2-3B,7758145.56,-51.892415038509974,False
llm-sentence-transformers-all-MiniLM-L6-v2,1515323.25,-55.33842984157535,False
qf-nan,38684396.0,-9.341868871977677,False
postgres-nan,450264.00000000006,0.0,False
