metric,error,true_label,embedding,type_number
num_tables,1.6514,0.3282***,0.1007,4
num_columns,0.9603,0.2168**,-0.0484,6
num_joins,0.6402,0.3195***,-0.0083,4
num_filters,-0.4994,0.0798,0.0079,6
longest_path_len,1.1578,0.2176**,-0.0239,6
num_nodes,-2.8725*,0.3734***,0.0769,4
join_tree_diameter,-0.0289,0.2803***,0.0055,4
num_blocking_ops,0.496,0.3311***,0.1629,4
num_nested_loop,0.7797,0.0328,0.1029,6
max_est_join_input_rows,32.5495,0.3902***,0.1544,4
sum_est_join_input_rows,-33.0327,0.4028***,0.1283,4
num_highly_selective_filters,-1.2814,-0.2687**,0.1527,6
log_filter_selectivity_product,-0.3013,0.0460,-0.1682*,6
optimizer_est_cost_root,0.6143,0.5158***,0.1499,4
log_max_est_rows,2.4776,0.5899***,0.3553***,3
log_sum_est_rows,-2.1266,0.5796***,0.3316***,3
max_log_card_error,0.2672,0.3815***,0.3551***,3
