metric,error,true_label,embedding,type_number
num_tables,0.3853,0.4716***,0.2983***,3
num_columns,0.2495,0.3546***,0.1978***,3
num_joins,-0.2382,0.5664***,0.2531***,3
num_filters,0.4279,0.0304,0.0591**,6
longest_path_len,0.0321,0.5142***,0.2955***,3
num_nodes,0.087,0.5388***,0.3034***,3
join_tree_diameter,-0.1238,0.3669***,0.1078***,3
num_blocking_ops,0.3483,0.2316***,0.1918***,3
num_nested_loop,0.5449,-0.0823***,0.0471*,6
max_est_join_input_rows,-0.00000518,0.4715***,0.1927***,3
sum_est_join_input_rows,-0.0098,0.5636***,0.2568***,3
num_highly_selective_filters,0.0741,-0.2882***,0.1966***,5
log_filter_selectivity_product,-0.1365,0.2436***,-0.0951***,4
optimizer_est_cost_root,-0.0767,0.6351***,0.2614***,3
log_max_est_rows,-0.1462,0.7555***,0.4083***,3
log_sum_est_rows,-0.2125,0.7592***,0.3960***,3
max_log_card_error,1.2082,0.1750***,0.2294***,3
