metric,error,true_label,embedding,type_number
num_tables,1.1529,0.3282***,0.1021,4
num_columns,0.9178,0.2168**,-0.0475,6
num_joins,0.6301,0.3195***,-0.0119,4
num_filters,-0.335,0.0798,0.0090,6
longest_path_len,0.6576,0.2176**,-0.0231,6
num_nodes,-2.0547,0.3734***,0.0775,4
join_tree_diameter,-0.0764,0.2803***,0.0042,4
num_blocking_ops,0.5278,0.3311***,0.1647,4
num_nested_loop,0.417,0.0328,0.1065,6
max_est_join_input_rows,67.9487,0.3902***,0.1514,4
sum_est_join_input_rows,-68.1098,0.4028***,0.1251,4
num_highly_selective_filters,-0.6248,-0.2687**,0.1526,6
log_filter_selectivity_product,-0.1315,0.0460,-0.1678*,6
optimizer_est_cost_root,0.0735,0.5158***,0.1482,4
log_max_est_rows,2.6193,0.5899***,0.3534***,3
log_sum_est_rows,-2.2313,0.5796***,0.3293***,3
max_log_card_error,0.0342,0.3815***,0.3574***,3
