metric,error,true_label,embedding,type_number
num_tables,-5.688,0.4716***,-0.1136***,4
num_columns,-0.9931,0.3546***,-0.0816***,4
num_joins,-5.0487,0.5664***,-0.4042***,4
num_filters,-0.8572,0.0304,-0.0551**,6
longest_path_len,-4.0835,0.5142***,-0.3433***,4
num_nodes,15.3375,0.5388***,-0.2635***,4
join_tree_diameter,4.0133,0.3669***,-0.5664***,4
num_blocking_ops,5.5361,0.2316***,0.3367***,3
num_nested_loop,-0.8795,-0.0823***,0.1391***,5
max_est_join_input_rows,12.6292,0.4715***,-0.1834***,4
sum_est_join_input_rows,9.821,0.5636***,-0.2694***,4
num_highly_selective_filters,0.6406,-0.2882***,0.3025***,5
log_filter_selectivity_product,0.9465,0.2436***,-0.1054***,4
optimizer_est_cost_root,-16.9754,0.6351***,-0.3168***,4
log_max_est_rows,7.1844,0.7555***,-0.2985***,4
log_sum_est_rows,-5.9765,0.7592***,-0.3535***,4
max_log_card_error,9.7446,0.1750***,0.1920***,3
