,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,0.1111,0.1537,0.0729,0.0195,0.0953,-0.0770,0.0627,0.6465***,0.2360*,0.3517***,0.3243***,0.3378***,0.2557**,0.3144***,-0.1005,0.1434,0.6169***,0.2289*
q90,-0.0232,0.0558,0.0311,0.1614,0.0087,0.1489,0.1947*,-0.2507**,0.1035,-0.0287,0.1139,-0.1022,-0.1017,-0.0659,0.1534,0.0880,0.4404***,-0.2930**
q95,-0.1019,0.0190,-0.1419,0.2278*,-0.0862,0.0573,0.0756,0.7353***,0.1569,0.0123,0.1538,-0.0123,0.0914,-0.0600,0.1824,0.0529,0.8456***,0.2021*
qmax,0.2360*,0.1910*,0.2372*,0.2867**,0.1734,0.1407,0.1255,0.3836***,-0.0719,0.0466,0.2559**,0.0316,-0.0789,0.0379,0.2066*,0.0041,0.7475***,0.3207***
