,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,0.1300,0.1431,0.0879,0.0294,0.1055,0.1889*,0.1274,0.7164***,0.3211***,0.3111***,0.2793**,0.2955**,0.2154*,0.2651**,0.2317*,0.1771,0.7274***,0.4221***
q90,-0.0232,0.0558,0.0311,0.1614,0.0087,0.1489,0.1947*,-0.2507**,0.1850*,-0.0306,0.1113,-0.1048,-0.1036,-0.0685,0.1546,0.0870,0.4386***,0.2331*
q95,0.1143,-0.1067,0.1570,0.3237***,0.0452,-0.0689,0.0724,0.7018***,0.0850,-0.0290,-0.1561,-0.0120,0.1149,-0.0956,-0.1791,-0.0699,0.8659***,-0.0328
qmax,-0.1084,-0.0834,0.0306,0.2489**,-0.0142,-0.0783,0.0371,0.7356***,-0.0636,0.1061,-0.1481,-0.1221,0.0111,-0.1096,-0.1018,-0.0483,0.7152***,-0.2394*
