,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,-0.0351,-0.1355,-0.0628,0.0136,-0.0979,0.1737,0.0589,0.6464***,0.0846,-0.0193,-0.1142,-0.0161,0.1337,-0.0487,0.2278*,0.0447,0.7002***,0.0457
q90,0.1102,-0.0858,0.1525,0.2518**,0.0485,-0.1090,0.0661,0.6145***,-0.0882,0.0079,-0.0787,0.0423,0.1145,-0.0413,-0.2032*,-0.0078,0.7105***,-0.1530
q95,0.0848,-0.1214,0.1226,0.2954**,0.0125,-0.0751,0.0549,0.7316***,-0.1625,-0.0371,-0.1197,-0.0174,0.1012,-0.0941,-0.1710,-0.0588,0.8393***,-0.1589
qmax,-0.1095,-0.0034,-0.1741,0.1936*,-0.1276,0.0380,0.0622,0.7386***,-0.1097,0.0698,0.1474,0.0320,0.0583,0.0614,0.0116,-0.0403,0.7494***,-0.0979
