,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,-0.1167,-0.0944,0.0191,0.2909**,-0.0260,-0.0558,0.0308,0.7201***,0.3317***,0.0719,-0.2116*,-0.1664,0.0522,-0.1704,-0.0406,-0.0698,0.7366***,0.1533
q90,-0.0997,-0.0478,-0.1699,0.1344,-0.1846,-0.2312*,0.0089,0.7213***,0.2611**,0.1548,0.1202,0.0431,0.0730,-0.0315,-0.1829,0.0153,0.7318***,0.0192
q95,-0.1110,-0.0974,0.0158,0.2377*,-0.0289,-0.0816,0.0276,0.7403***,0.3638***,0.0758,-0.2169*,-0.1828,-0.0338,-0.1804,-0.1064,-0.0808,0.7462***,0.1917*
qmax,0.2388*,0.1937*,0.2393*,0.2900**,0.1760,0.1448,0.1298,0.3865***,0.2910**,0.0565,0.2633**,0.0414,-0.0777,0.0498,0.2052*,0.0050,0.7592***,0.0057
