,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,-0.0182,-0.0964,0.0439,0.1790,-0.0541,0.0187,-0.0615,-0.0146,0.0011,0.0644,0.1516,0.0604,-0.0573,0.0917,0.2435**,0.0758,0.4752***,0.3476***
q90,0.1232,0.1645,0.0818,-0.1616,0.0923,-0.1942*,0.0872,0.7056***,-0.2182*,0.2911**,0.2760**,0.2708**,0.1115,0.2291*,-0.1158,0.1280,0.6791***,-0.2256*
q95,0.1169,0.1542,0.0781,0.0170,0.0882,-0.1805,0.0202,0.6998***,-0.1769,0.2927**,0.2591**,0.2722**,0.1829,0.2314*,-0.1062,0.0552,0.6773***,-0.2449**
qmax,0.1267,0.1345,0.0831,0.0267,0.1001,0.1882*,0.1188,0.7141***,-0.1823,0.2936**,0.2473**,0.2721**,0.1823,0.2395*,0.2387*,0.1802,0.7039***,-0.2450**
