,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,-0.1077,-0.0350,-0.1289,0.0923,-0.0666,-0.0137,-0.0506,0.0381,-0.0406,0.0482,0.2863**,0.0464,-0.0908,0.0982,0.1733,0.0829,0.3471***,0.2734**
q90,-0.1039,0.0188,-0.1443,0.2239*,-0.0909,0.0581,0.0742,0.7386***,0.0319,0.0048,0.1662,-0.0129,0.0770,-0.0700,0.1953*,0.0475,0.8475***,0.1487
q95,-0.0545,-0.1384,-0.1298,0.2986**,-0.1026,0.0985,0.0525,0.7392***,0.0156,-0.0140,0.0551,-0.0090,0.0888,-0.0901,0.1905*,0.0082,0.7343***,0.0972
qmax,0.0437,-0.1659,0.0901,0.2862**,-0.0283,-0.1598,0.0583,0.7489***,-0.1289,-0.0864,-0.1324,-0.0699,0.0598,-0.1370,-0.2603**,-0.0270,0.8084***,-0.1960*
