,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,0.0180,-0.0367,0.0613,0.2757**,-0.0050,-0.0567,-0.0280,0.0097,-0.0208,0.0548,0.2821**,0.0406,-0.1072,0.1249,0.1350,-0.0129,0.3779***,0.2954**
q90,0.1830,0.1109,0.2326*,0.0813,0.2237*,0.0856,0.0429,-0.2789**,0.0345,-0.0762,0.1910*,-0.0669,0.0534,-0.0653,0.1830,0.0772,0.8431***,-0.0606
q95,-0.0583,-0.1428,-0.1338,0.2959**,-0.1075,0.0962,0.0505,0.7399***,0.0515,-0.0266,0.0499,-0.0184,0.0776,-0.1056,0.1807,0.0012,0.7397***,0.2020*
qmax,-0.1114,0.0020,-0.1731,0.1927*,-0.1237,0.0339,0.0588,0.7420***,-0.1095,0.0857,0.1786,0.0591,0.0597,0.0915,0.0210,-0.0451,0.7479***,-0.1775
