,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,-0.0786,0.1370,-0.1246,0.2301*,-0.1343,0.0973,0.0894,0.6315***,0.0885,0.1886*,0.2251*,0.0967,0.0265,0.0289,0.1847,0.0993,0.6068***,0.1630
q90,-0.1058,-0.0664,0.0458,0.3158***,0.0019,-0.0458,0.0458,0.7092***,-0.0764,0.0996,-0.1357,-0.0965,0.1054,-0.0935,-0.0280,-0.0339,0.7061***,-0.0615
q95,-0.0499,-0.1348,-0.1269,0.3037**,-0.0963,0.1009,0.0555,0.7352***,0.1638,-0.0033,0.0582,-0.0031,0.0968,-0.0657,0.1738,0.0131,0.7239***,0.2255*
qmax,0.2360*,0.1910*,0.2372*,0.2867**,0.1734,0.1407,0.1255,0.3836***,-0.0416,0.0466,0.2559**,0.0316,-0.0789,0.0379,0.2066*,0.0041,0.7475***,-0.0402
