,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,-0.5452***,-0.1386,-0.5012***,-0.1890*,-0.5010***,0.2213*,0.2459**,0.0456,-0.0075,-0.2794**,-0.1272,-0.2825**,-0.1093,-0.3065***,-0.0454,-0.0889,-0.0244,-0.4768***
q90,-0.1609,-0.0122,-0.1762,-0.1763,-0.0654,0.1982*,0.1922*,0.0399,-0.0376,-0.0337,0.0784,-0.0791,-0.1467,0.0259,0.1538,0.2194*,0.0859,-0.1385
q95,0.4227***,0.3238***,0.4900***,0.6576***,0.4779***,0.0774,-0.2332*,0.0860,0.3915***,0.2055*,0.3369***,0.2725**,0.2891**,0.2572**,-0.0441,0.0650,0.2586**,-0.0231
qmax,0.0906,0.1583,0.1340,-0.0279,0.0362,0.2016*,-0.0305,-0.0571,0.5883***,-0.0140,0.1711,0.3423***,0.2957**,0.2130*,0.2292*,0.1329,-0.0193,0.4073***
