,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,0.0371,-0.0186,0.0433,0.2294*,-0.0027,-0.0130,-0.0498,-0.0024,-0.0134,0.0762,0.2443**,0.0619,-0.0736,0.1272,0.1817,0.1252,0.3630***,-0.1324
q90,0.1459,0.1445,0.1743,-0.0832,0.1688,0.2050*,0.0991,0.5280***,0.0213,-0.1873*,-0.0751,-0.1046,-0.0857,-0.1632,-0.0409,-0.0682,-0.0931,-0.1126
q95,0.1170,0.0230,0.1255,0.2334*,0.0928,0.1183,0.1086,-0.0311,-0.1027,0.0988,0.3115***,0.0908,-0.0328,0.1227,0.2292*,0.0040,0.8180***,-0.3390***
qmax,0.2388*,0.1937*,0.2393*,0.2900**,0.1760,0.1448,0.1298,0.3865***,0.0135,0.0565,0.2633**,0.0414,-0.0777,0.0498,0.2052*,0.0050,0.7592***,-0.2195*
