,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,0.0491,0.0228,-0.0224,-0.1734,-0.0005,-0.1216,-0.0287,0.3978***,-0.0840,0.0118,-0.1722,0.0769,0.1023,0.0446,-0.1096,0.0175,-0.5217***,0.2535**
q90,-0.1068,-0.0875,0.0267,0.2463**,-0.0185,-0.0807,0.0350,0.7381***,0.2137*,0.1150,-0.1678,-0.1270,0.0184,-0.1194,-0.1018,-0.0496,0.7203***,0.0614
q95,-0.0256,-0.0757,0.0458,0.3043**,-0.0135,0.0686,0.0175,0.7220***,-0.2288*,-0.1522,-0.1559,-0.0771,0.0966,-0.1120,0.1649,0.0239,0.7120***,-0.1937*
qmax,0.2373*,0.1929*,0.2375*,0.2882**,0.1748,0.1443,0.1294,0.3850***,0.0660,0.0532,0.2585**,0.0374,-0.0805,0.0463,0.2053*,0.0045,0.7647***,0.2963**
