label,time,error,filtered
bao-nan,3233028.0,331.6,False
e2e-nan,15591185.999999998,29.14,False
llm-Qwen-Qwen3-Embedding-0.6B,9482171.99,13.69,False
llm-Qwen-Qwen3-Embedding-4B,41905453.69,41.57,False
llm-Qwen-Qwen3-Embedding-8B,76353405.79,9.4,False
llm-answerdotai-ModernBERT-base,5484879.52,42.5,False
llm-bert-base-uncased,3472121.27,20.48,False
llm-google-gemma-3-12b-pt,27973710.68,23.58,False
llm-google-gemma-3-1b-pt,7868150.7,18.66,False
llm-google-gemma-3-4b-pt,12701833.85,15.18,False
llm-meta-llama-Llama-3.1-8B,18581402.83,49.91,False
llm-meta-llama-Llama-3.2-1B,5556681.94,23.41,False
llm-meta-llama-Llama-3.2-3B,10626735.65,69.1,False
llm-sentence-transformers-all-MiniLM-L6-v2,2103016.85,23.1,False
qf-nan,56717454.0,68.23,False
postgres-nan,2103016.85,13.08,False
aimai-nan,622930.0,3539.01,True
