label,time,error,filtered
bao-nan,3233028.0,8.0,False
e2e-nan,15591185.999999998,4.41,False
llm-Qwen-Qwen3-Embedding-0.6B,9482171.99,2.93,False
llm-Qwen-Qwen3-Embedding-4B,41905453.69,4.69,False
llm-Qwen-Qwen3-Embedding-8B,76353405.79,2.75,False
llm-answerdotai-ModernBERT-base,5484879.52,4.67,False
llm-bert-base-uncased,3472121.27,2.86,False
llm-google-gemma-3-12b-pt,27973710.68,2.93,False
llm-google-gemma-3-1b-pt,7868150.7,2.92,False
llm-google-gemma-3-4b-pt,12701833.85,2.61,False
llm-meta-llama-Llama-3.1-8B,18581402.83,3.8,False
llm-meta-llama-Llama-3.2-1B,5556681.94,3.38,False
llm-meta-llama-Llama-3.2-3B,10626735.65,5.32,False
llm-sentence-transformers-all-MiniLM-L6-v2,2103016.85,3.38,False
qf-nan,56717454.0,7.36,False
postgres-nan,2103016.85,2.76,False
aimai-nan,622930.0,385.21,True
