metric,error,true_label,embedding,type_number
num_tables,-2.69e+11,0.2351***,-0.2544***,4
num_columns,-0.006,0.3363***,-0.2275***,4
num_joins,2.38e+11,0.6328***,-0.1266***,4
num_filters,0.0136,0.0187,-0.3374***,6
longest_path_len,0.035,0.1338***,-0.3309***,4
num_nodes,0.1339,0.2064***,-0.2893***,4
join_tree_diameter,0.0275,0.6199***,-0.1519***,4
num_blocking_ops,-0.0142,0.2660***,0.0969***,3
num_nested_loop,2.59e+11,-0.3127***,-0.2098***,6
max_est_join_input_rows,0.0259,0.6765***,-0.0901***,4
sum_est_join_input_rows,-0.0578,0.6779***,-0.0891***,4
num_highly_selective_filters,-0.0357,-0.6130***,0.1628***,5
log_filter_selectivity_product,-0.0023,0.5989***,0.0154,4
optimizer_est_cost_root,0.0249,0.9215***,0.0524***,3
log_max_est_rows,0.6923*,0.8339***,0.0038,4
log_sum_est_rows,-0.6148,0.8641***,-0.0339*,4
max_log_card_error,0.0757***,-0.1373***,-0.0376**,6
