metric,error,true_label,embedding,type_number
num_tables,-4.86e+11,0.2351***,-0.2522***,4
num_columns,-0.0301,0.3363***,-0.2258***,4
num_joins,4.30e+11,0.6328***,-0.1339***,4
num_filters,0.0208,0.0187,-0.3364***,6
longest_path_len,0.1399,0.1338***,-0.3345***,4
num_nodes,-0.0032,0.2064***,-0.2912***,4
join_tree_diameter,0.0227,0.6199***,-0.1595***,4
num_blocking_ops,-0.0017,0.2660***,0.0996***,3
num_nested_loop,4.68e+11,-0.3127***,-0.2010***,6
max_est_join_input_rows,0.0563,0.6765***,-0.0949***,4
sum_est_join_input_rows,-0.0837,0.6779***,-0.0940***,4
num_highly_selective_filters,-0.0396,-0.6130***,0.1824***,5
log_filter_selectivity_product,-0.008,0.5989***,0.0015,4
optimizer_est_cost_root,0.0196,0.9215***,0.0408**,4
log_max_est_rows,0.8017*,0.8339***,-0.0091,4
log_sum_est_rows,-0.7335*,0.8641***,-0.0464**,4
max_log_card_error,0.079***,-0.1373***,-0.0335*,6
