metric,error,true_label,embedding,type_number
num_tables,-9.49e+11,0.2351***,-0.6309***,4
num_columns,-1.3302***,0.3363***,-0.6093***,1
num_joins,8.41e+11,0.6328***,-0.0735***,4
num_filters,-0.0232,0.0187,-0.5310***,6
longest_path_len,0.268,0.1338***,-0.6200***,4
num_nodes,-2.2773*,0.2064***,-0.6390***,4
join_tree_diameter,-0.26**,0.6199***,-0.0796***,4
num_blocking_ops,0.0619,0.2660***,0.1142***,3
num_nested_loop,9.14e+11,-0.3127***,-0.5276***,6
max_est_join_input_rows,1.1942***,0.6765***,0.0168,1
sum_est_join_input_rows,-2.9218***,0.6779***,0.0124,1
num_highly_selective_filters,0.3369**,-0.6130***,0.0511***,5
log_filter_selectivity_product,0.0961,0.5989***,0.1222***,3
optimizer_est_cost_root,1.3545***,0.9215***,-0.0960***,1
log_max_est_rows,-0.696,0.8339***,-0.0120,4
log_sum_est_rows,1.8692*,0.8641***,-0.0323*,4
max_log_card_error,0.1408**,-0.1373***,-0.3104***,6
