metric,error,true_label,embedding,type_number
num_tables,-1.11e+12,0.2351***,0.0159,4
num_columns,0.009,0.3363***,0.0351*,4
num_joins,9.85e+11,0.6328***,0.4047***,3
num_filters,-0.0522,0.0187,-0.1194***,6
longest_path_len,3.8891*,0.1338***,0.1592***,3
num_nodes,-4.1909,0.2064***,0.1427***,3
join_tree_diameter,-0.1221,0.6199***,0.4069***,3
num_blocking_ops,-0.2503,0.2660***,0.0136,4
num_nested_loop,1.07e+12,-0.3127***,-0.3693***,6
max_est_join_input_rows,-0.2365,0.6765***,0.3517***,3
sum_est_join_input_rows,5.5212***,0.6779***,0.3555***,2
num_highly_selective_filters,0.002,-0.6130***,-0.4430***,6
log_filter_selectivity_product,0.237,0.5989***,0.4061***,3
optimizer_est_cost_root,-0.3136,0.9215***,0.3589***,3
log_max_est_rows,-5.0852**,0.8339***,0.4160***,3
log_sum_est_rows,5.4705**,0.8641***,0.4410***,3
max_log_card_error,0.3219*,-0.1373***,-0.1579***,6
