combined_timing_accuracy_report
dataset,task,algo,model,train_time_sum_ms,test_time_sum_ms,llm_train_inference_ms,llm_test_inference_ms,q50,q90,q95,qmax
job_full,card,llm,google-gemma-3-1b-pt,3847.46,5537.16,7131246.31,1316377.68,21.23,1738.86,6779.82,7535734670.32
job_full,card,llm,google-gemma-3-4b-pt,4070.52,5489.05,12007544.78,3575100.19,18.03,1027.38,3514.68,317021844.16
job_full,card,llm,meta-llama-Llama-3.1-8B,3986.16,5486.49,11873033.87,5078914.57,88.81,45984.3,274230.35,141233584555.5
job_full,card,llm,meta-llama-Llama-3.2-1B,3796.48,5441.02,5080811.7,1239961.0,33.32,6784.48,29078.84,470327677193.64
job_full,card,llm,meta-llama-Llama-3.2-3B,3801.16,5368.57,9904094.16,2733695.2,1331.96,772147.55,4007758.37,3987885343028.23
job_full,card,llm,sentence-transformers-all-MiniLM-L6-v2,3807.64,5420.14,1366953.22,251772.59,29.83,4241.48,23422.31,11218561170.85
job_full,card,postgres,,,,,,182.27,30006.0,95909.0,inf
job_full,card,qf,,283140.78,459173.87,,,25.61,3818.68,14872.87,715861937907.84
job_full,time,aimai,,3114.65,99.3,,,385.21,3539.01,6556.8,26735.84
job_full,time,bao,,16165.14,158.41,,,8.0,331.6,1214.86,23739.26
job_full,time,e2e,,77955.93,3814.58,,,4.41,29.14,45.84,130.52
job_full,time,llm,Qwen-Qwen3-0.6B,3730.53,238.3,8726216.56,32599.2,6.14,143.41,462.29,1481.75
job_full,time,llm,Qwen-Qwen3-4B,3808.54,148.97,46058486.72,197657.18,5.45,43.76,72.34,259.52
job_full,time,llm,Qwen-Qwen3-8B,3785.31,239.33,84548081.74,396398.11,5.69,63.93,165.7,1193.85
job_full,time,llm,Qwen-Qwen3-Embedding-0.6B,3618.16,149.12,8800073.95,32481.87,3.65,14.81,37.56,1713.64
job_full,time,llm,Qwen-Qwen3-Embedding-4B,3885.5,60.85,46135463.26,198320.93,4.2,30.53,45.95,136.18
job_full,time,llm,Qwen-Qwen3-Embedding-8B,3788.32,59.42,84370123.07,397934.72,2.4,9.83,16.89,319.26
job_full,time,llm,answerdotai-ModernBERT-base,4032.96,58.59,4825581.53,9153.08,3.63,56.69,91.01,259.1
job_full,time,llm,bert-base-uncased,3754.79,61.29,2609859.1,4842.44,2.99,14.48,27.17,385.21
job_full,time,llm,google-gemma-3-12b-pt,3919.63,60.34,28355837.54,106299.63,2.91,22.83,36.45,235.02
job_full,time,llm,google-gemma-3-1b-pt,4225.58,61.28,7131246.31,15964.18,3.42,21.84,36.89,153.44
job_full,time,llm,google-gemma-3-4b-pt,3945.65,147.98,12007544.78,44346.22,2.87,15.45,31.25,112.37
job_full,time,llm,meta-llama-Llama-3.1-8B,3987.0,60.15,11873033.87,62607.5,3.17,14.0,23.81,78.04
job_full,time,llm,meta-llama-Llama-3.2-1B,4063.55,147.41,5080811.7,14126.67,3.98,38.64,78.02,186.16
job_full,time,llm,meta-llama-Llama-3.2-3B,3836.21,148.79,9904094.16,31720.91,5.63,62.77,175.68,1509.15
job_full,time,llm,sentence-transformers-all-MiniLM-L6-v2,3821.26,61.83,1366953.22,3017.53,4.09,17.01,61.09,211.35
job_full,time,postgres,,,,,,2.76,13.08,22.48,254.44
job_full,time,qf,,283587.27,4843.21,,,7.96,69.21,154.61,534.74
stats,card,aimai,,2011.82,1481.78,,,4.12,143.96,760.54,2204189503.42
stats,card,bao,,11642.54,3235.22,,,3.44,86.44,359.89,898845.41
stats,card,e2e,,50819.18,11109.99,,,4.22,315.89,1546.83,4.7961515915581E+20
stats,card,llm,Qwen-Qwen3-0.6B,2749.52,1526.46,6689572.15,301012.86,3.67,114.71,769.96,2.30582163685373E+22
stats,card,llm,Qwen-Qwen3-4B,2625.47,1608.38,39052175.67,1788555.84,4.6,125.11,627.05,21314833109.45
stats,card,llm,Qwen-Qwen3-8B,2751.41,1627.9,72847704.56,3337569.51,4.65,169.19,2391.55,4.13342329349261E+16
stats,card,llm,Qwen-Qwen3-Embedding-0.6B,2650.21,1639.79,6678060.87,299473.36,5.41,417.63,3360.95,1.05491447219431E+17
stats,card,llm,Qwen-Qwen3-Embedding-4B,2648.61,1653.47,39121332.87,1783879.67,2.96,50.94,273.85,6823913831514.93
stats,card,llm,Qwen-Qwen3-Embedding-8B,2772.04,1611.5,72668643.16,3324219.19,2.76,42.49,217.13,123544158894866.38
stats,card,llm,answerdotai-ModernBERT-base,2560.93,1466.23,3302936.19,142768.99,3.01,69.02,262.53,282532759750.27
stats,card,llm,bert-base-uncased,2706.67,1416.03,1837010.58,77345.95,4.45,169.42,1206.76,304030518093.99
stats,card,llm,google-gemma-3-12b-pt,2940.17,1560.96,21618846.06,982426.12,2.94,76.95,382.15,408107110559844.8
stats,card,llm,google-gemma-3-1b-pt,2577.1,1611.22,4977094.5,213744.45,3.16,86.25,437.61,299703381.45
stats,card,llm,google-gemma-3-4b-pt,2787.98,1624.62,9331795.04,408969.57,2.51,43.2,197.7,117773276.3
stats,card,llm,meta-llama-Llama-3.1-8B,2704.62,1616.11,7760251.56,350562.42,2.6,40.32,199.04,144547516344020.34
stats,card,llm,meta-llama-Llama-3.2-1B,2746.03,1475.44,3945950.54,152321.2,3.24,83.54,447.75,7616114792.6
stats,card,llm,meta-llama-Llama-3.2-3B,2663.9,1516.26,7610349.98,328300.71,3.33,105.6,762.71,1333507796754.66
stats,card,llm,sentence-transformers-all-MiniLM-L6-v2,2667.75,1497.28,1014949.21,42117.31,4.18,159.72,1043.58,78522959128.8
stats,card,postgres,,,,,,2.15,38.99,126.09,8268375.15
stats,card,qf,,193407.22,91246.77,,,4.8,98.56,363.55,3793255.45
stats,card,mscn,,128380.76,2.50,,,7.69,556.13,2080.44,1001177.332
stats,card,alece,,117657.26,14434.66,,,2.78,13.36,25.15,7580.35
stats,card,price,,637870.12,76116.08,,,4.17,28.69,195.94,1814.9
stats,time,aimai,,2251.32,170.47,,,1.93,10.7,69.54,687.02
stats,time,bao,,11213.73,181.67,,,1.93,14.91,31.21,190.12
stats,time,e2e,,53728.67,1080.27,,,1.83,9.2,20.82,345.18
stats,time,llm,Qwen-Qwen3-0.6B,2603.7,255.74,6689572.15,19507.8,2.06,22.98,76.71,844.57
stats,time,llm,Qwen-Qwen3-4B,2930.52,164.75,39052175.67,117184.23,1.99,23.35,85.09,1594.28
stats,time,llm,Qwen-Qwen3-8B,2811.88,250.5,72847704.56,221425.9,1.95,17.81,120.76,2134.99
stats,time,llm,Qwen-Qwen3-Embedding-0.6B,2689.5,167.53,6678060.87,19753.38,1.99,11.0,20.06,759.27
stats,time,llm,Qwen-Qwen3-Embedding-4B,2711.56,169.22,39121332.87,117777.75,1.69,8.3,32.49,636.47
stats,time,llm,Qwen-Qwen3-Embedding-8B,2827.61,161.56,72668643.16,222711.21,1.63,8.11,18.21,352.88
stats,time,llm,answerdotai-ModernBERT-base,2719.26,78.49,3302936.19,9482.7,1.93,16.46,61.5,2004.94
stats,time,llm,bert-base-uncased,2540.68,77.55,1837010.58,4316.65,2.2,16.04,63.43,438.19
stats,time,llm,google-gemma-3-12b-pt,2782.46,164.25,21618846.06,64033.77,1.52,8.25,25.53,1015.85
stats,time,llm,google-gemma-3-1b-pt,2925.82,167.48,4977094.5,11692.28,1.49,6.72,42.73,525.42
stats,time,llm,google-gemma-3-4b-pt,2775.53,250.12,9331795.04,27790.25,1.57,7.7,38.0,375.66
stats,time,llm,meta-llama-Llama-3.1-8B,2785.1,77.0,7760251.56,39916.21,1.54,8.78,29.27,278.32
stats,time,llm,meta-llama-Llama-3.2-1B,2759.1,218.94,3945950.54,9696.11,1.66,7.55,47.17,580.07
stats,time,llm,meta-llama-Llama-3.2-3B,2906.63,254.7,7610349.98,22805.41,1.6,9.61,47.04,1991.06
stats,time,llm,sentence-transformers-all-MiniLM-L6-v2,2478.91,78.26,1014949.21,2548.44,1.71,11.15,54.2,1739.8
