metric,error,true_label,embedding,type_number
num_tables,3.5477,-0.1979*,-0.0770,6
num_columns,1.2887,-0.0514,0.0795,6
num_joins,-2.804,-0.0340,-0.0545,6
num_filters,1.7336,-0.0438,0.0613,6
longest_path_len,0.1772,-0.2689***,-0.1327,6
num_nodes,-5.0826,-0.0283,-0.0353,6
join_tree_diameter,0.1541,-0.0752,-0.0312,6
num_blocking_ops,2.6403,0.0648,-0.0371,6
num_nested_loop,-2.0738,-0.2049*,0.0022,6
max_est_join_input_rows,-15.4303,-0.0313,-0.0466,6
sum_est_join_input_rows,17.1159,-0.0285,-0.0529,6
num_highly_selective_filters,0.0931,-0.2021*,-0.1429,6
log_filter_selectivity_product,0.8174,0.1285,0.1036,6
optimizer_est_cost_root,0.0808,0.1117,0.0203,6
log_max_est_rows,6.3911,0.0337,0.0357,6
log_sum_est_rows,-6.8932,0.0820,0.0617,6
max_log_card_error,0.0733,-0.0463,0.0966,6
