label,time,error,filtered
aimai-nan,653374.0,23656.03,False
bao-nan,3315196.0,42732.51,False
e2e-nan,15849574.0,214096.89,False
llm-Qwen-Qwen3-Embedding-0.6B,9550401.99,4223.93,False
llm-Qwen-Qwen3-Embedding-4B,41914435.69,17178.9,False
llm-Qwen-Qwen3-Embedding-8B,76382133.79,7132.62,False
llm-answerdotai-ModernBERT-base,5418591.52,19950.93,False
llm-bert-base-uncased,3510071.27,31796.9,False
llm-google-gemma-3-12b-pt,28002882.68,10570.47,False
llm-google-gemma-3-1b-pt,7785774.7,21163.12,False
llm-google-gemma-3-4b-pt,12751851.85,14481.23,False
llm-meta-llama-Llama-3.1-8B,18589694.83,8506.33,False
llm-meta-llama-Llama-3.2-1B,5482397.94,7115.34,False
llm-meta-llama-Llama-3.2-3B,10595063.65,10236.07,False
llm-sentence-transformers-all-MiniLM-L6-v2,2154210.85,661406.29,False
qf-nan,64124019.99999999,397518.58,False
postgres-nan,653374.0,35776.0,False
