label,time,error,filtered
aimai-nan,653374.0,4.65,False
bao-nan,3315196.0,9.33,False
e2e-nan,15849574.0,10.78,False
llm-Qwen-Qwen3-Embedding-0.6B,9550401.99,4.59,False
llm-Qwen-Qwen3-Embedding-4B,41914435.69,4.55,False
llm-Qwen-Qwen3-Embedding-8B,76382133.79,4.05,False
llm-answerdotai-ModernBERT-base,5418591.52,5.64,False
llm-bert-base-uncased,3510071.27,6.15,False
llm-google-gemma-3-12b-pt,28002882.68,4.03,False
llm-google-gemma-3-1b-pt,7785774.7,3.97,False
llm-google-gemma-3-4b-pt,12751851.85,4.11,False
llm-meta-llama-Llama-3.1-8B,18589694.83,3.96,False
llm-meta-llama-Llama-3.2-1B,5482397.94,4.14,False
llm-meta-llama-Llama-3.2-3B,10595063.65,4.06,False
llm-sentence-transformers-all-MiniLM-L6-v2,2154210.85,5.78,False
qf-nan,64124019.99999999,11.8,False
postgres-nan,653374.0,8.61,False
