label,time,error,filtered
aimai-nan,653374.0,8.87,False
bao-nan,3315196.0,23.15,False
e2e-nan,15849574.0,27.04,False
llm-Qwen-Qwen3-Embedding-0.6B,9550401.99,9.25,False
llm-Qwen-Qwen3-Embedding-4B,41914435.69,9.54,False
llm-Qwen-Qwen3-Embedding-8B,76382133.79,8.7,False
llm-answerdotai-ModernBERT-base,5418591.52,10.54,False
llm-bert-base-uncased,3510071.27,11.94,False
llm-google-gemma-3-12b-pt,28002882.68,7.08,False
llm-google-gemma-3-1b-pt,7785774.7,7.02,False
llm-google-gemma-3-4b-pt,12751851.85,7.28,False
llm-meta-llama-Llama-3.1-8B,18589694.83,7.16,False
llm-meta-llama-Llama-3.2-1B,5482397.94,7.32,False
llm-meta-llama-Llama-3.2-3B,10595063.65,7.1,False
llm-sentence-transformers-all-MiniLM-L6-v2,2154210.85,11.46,False
qf-nan,64124019.99999999,29.36,False
postgres-nan,653374.0,15.83,False
