label,time,error,filtered
aimai-nan,599816.0,98.92,False
bao-nan,3387544.0,25.7,False
e2e-nan,15888846.0,15.18,False
llm-Qwen-Qwen3-Embedding-0.6B,9508873.99,10.14,False
llm-Qwen-Qwen3-Embedding-4B,41911439.69,7.98,False
llm-Qwen-Qwen3-Embedding-8B,76399883.79,7.75,False
llm-answerdotai-ModernBERT-base,5417631.52,9.13,False
llm-bert-base-uncased,3443115.27,13.96,False
llm-google-gemma-3-12b-pt,27998246.68,15.77,False
llm-google-gemma-3-1b-pt,7771484.7,22.82,False
llm-google-gemma-3-4b-pt,12736709.85,20.55,False
llm-meta-llama-Llama-3.1-8B,18574420.83,10.48,False
llm-meta-llama-Llama-3.2-1B,5575547.94,16.32,False
llm-meta-llama-Llama-3.2-3B,10611235.65,11.98,False
llm-sentence-transformers-all-MiniLM-L6-v2,2123690.85,13.76,False
qf-nan,56473666.0,10.26,False
postgres-nan,599816.0,14.44,False
