label,time,error,filtered
aimai-nan,599816.0,1.91,False
bao-nan,3387544.0,1.87,False
e2e-nan,15888846.0,1.66,False
llm-Qwen-Qwen3-Embedding-0.6B,9508873.99,1.63,False
llm-Qwen-Qwen3-Embedding-4B,41911439.69,1.74,False
llm-Qwen-Qwen3-Embedding-8B,76399883.79,1.57,False
llm-answerdotai-ModernBERT-base,5417631.52,1.45,False
llm-bert-base-uncased,3443115.27,1.47,False
llm-google-gemma-3-12b-pt,27998246.68,1.57,False
llm-google-gemma-3-1b-pt,7771484.7,1.77,False
llm-google-gemma-3-4b-pt,12736709.85,1.36,False
llm-meta-llama-Llama-3.1-8B,18574420.83,1.56,False
llm-meta-llama-Llama-3.2-1B,5575547.94,1.51,False
llm-meta-llama-Llama-3.2-3B,10611235.65,1.58,False
llm-sentence-transformers-all-MiniLM-L6-v2,2123690.85,1.71,False
qf-nan,56473666.0,1.93,False
postgres-nan,599816.0,2.19,False
