,num_tables,num_columns,num_joins,num_filters,longest_path,operator_multiset,path_ngrams,true_label,est_label,num_tables_pc_drop,num_columns_pc_drop,num_joins_pc_drop,num_filters_pc_drop,longest_path_pc_drop,operator_multiset_pc_drop,path_ngrams_pc_drop,true_label_pc_drop,est_label_pc_drop
q50,0.1744,0.2115*,0.2046*,0.0166,0.2375*,0.1160,0.0626,0.3130***,-0.0745,0.0676,-0.0834,0.0976,0.1154,-0.0727,-0.0139,0.0926,0.3136***,0.1397
q90,-0.0209,0.0564,0.0335,0.1646,0.0110,0.1460,0.1923*,-0.2463**,-0.1283,-0.0145,0.1345,-0.0819,-0.0768,-0.0490,0.1188,0.0669,0.4903***,0.1094
q95,0.0894,-0.1163,0.1278,0.2997**,0.0173,-0.0784,0.0555,0.7333***,0.2363*,-0.0300,-0.1260,-0.0139,0.1067,-0.0944,-0.1872*,-0.0533,0.8463***,0.1335
qmax,-0.0545,-0.1384,-0.1298,0.2986**,-0.1026,0.0985,0.0525,0.7392***,0.0958,-0.0140,0.0551,-0.0090,0.0888,-0.0901,0.1905*,0.0082,0.7343***,-0.0481
