,num_tables,num_columns,num_joins,num_filters,longest_path
q50,8.0,72.0,13.0,11.0,16.0
q90,7.0,40.0,7.0,7.0,10.0
q95,8.0,72.0,13.0,14.0,15.0
qmax,15.0,85.0,16.0,17.0,15.0
