metric,error,true_label,embedding,type_number
num_tables,0.3279,0.2871**,-0.1760,6
num_columns,0.7541,0.4069***,-0.0107,4
num_joins,3.0872,0.3060***,-0.0197,4
num_filters,2.8504,0.0176,-0.2748**,6
longest_path_len,-1.6212,0.2631**,-0.1520,6
num_nodes,-1.5101,0.2614**,-0.1693,6
join_tree_diameter,-0.5805,0.2202*,0.0009,6
num_blocking_ops,1.7442,-0.1523,-0.1069,6
num_nested_loop,0.3748,0.1608,-0.1888*,6
max_est_join_input_rows,5.0085,0.2704**,0.3002**,6
sum_est_join_input_rows,-3.9968,0.3250***,0.3005**,4
num_highly_selective_filters,-4.1585*,0.1322,-0.2127*,6
log_filter_selectivity_product,-2.4909,-0.0551,0.3131***,5
optimizer_est_cost_root,-1.1311,0.4292***,0.2688**,4
log_max_est_rows,6.7026,0.1989*,0.3331***,5
log_sum_est_rows,-7.6339,0.2467**,0.3195***,5
max_log_card_error,-0.6863,0.4461***,0.0603,4
