metric,error,true_label,embedding,type_number
num_tables,-2.1424,0.2871**,-0.1604,6
num_columns,1.8667,0.4069***,0.0026,4
num_joins,0.6136,0.3060***,-0.0070,4
num_filters,4.7784,0.0176,-0.2598**,6
longest_path_len,4.2643,0.2631**,-0.1378,6
num_nodes,0.7339,0.2614**,-0.1509,6
join_tree_diameter,0.5773,0.2202*,0.0060,6
num_blocking_ops,1.2219,-0.1523,-0.0980,6
num_nested_loop,-2.0378,0.1608,-0.1708,6
max_est_join_input_rows,-1.2637,0.2704**,0.2877**,6
sum_est_join_input_rows,7.2647,0.3250***,0.2922**,4
num_highly_selective_filters,-12.8898**,0.1322,-0.2026*,6
log_filter_selectivity_product,-8.3222,-0.0551,0.3050**,6
optimizer_est_cost_root,-7.8685,0.4292***,0.2509**,4
log_max_est_rows,15.9667,0.1989*,0.3171***,5
log_sum_est_rows,-18.6856,0.2467**,0.3056***,5
max_log_card_error,-3.7424*,0.4461***,0.0870,4
