metric,error,true_label,embedding,type_number
num_tables,-3.6054,0.2871**,-0.1760,6
num_columns,2.5298,0.4069***,-0.0107,4
num_joins,3.5238,0.3060***,-0.0197,4
num_filters,1.2729,0.0176,-0.2748**,6
longest_path_len,-5.828,0.2631**,-0.1520,6
num_nodes,5.1416,0.2614**,-0.1693,6
join_tree_diameter,-0.6124,0.2202*,0.0009,6
num_blocking_ops,2.2458,-0.1523,-0.1069,6
num_nested_loop,2.1239,0.1608,-0.1888*,6
max_est_join_input_rows,7.0763,0.2704**,0.3002**,6
sum_est_join_input_rows,-6.1447,0.3250***,0.3005**,4
num_highly_selective_filters,-4.4139,0.1322,-0.2127*,6
log_filter_selectivity_product,-3.1807,-0.0551,0.3131***,5
optimizer_est_cost_root,-1.0014,0.4292***,0.2688**,4
log_max_est_rows,9.1987,0.1989*,0.3331***,5
log_sum_est_rows,-11.1809,0.2467**,0.3195***,5
max_log_card_error,-1.4981,0.4461***,0.0603,4
