metric,error,true_label,embedding,type_number
num_tables,-0.0317,0.2871**,-0.1612,6
num_columns,0.9533,0.4069***,0.0010,4
num_joins,0.1806,0.3060***,-0.0110,4
num_filters,1.4111,0.0176,-0.2605**,6
longest_path_len,-5.7051*,0.2631**,-0.1389,6
num_nodes,3.1311,0.2614**,-0.1532,6
join_tree_diameter,0.8955,0.2202*,0.0027,6
num_blocking_ops,0.8133,-0.1523,-0.0972,6
num_nested_loop,1.0085,0.1608,-0.1721,6
max_est_join_input_rows,4.5499,0.2704**,0.2905**,6
sum_est_join_input_rows,-4.0358,0.3250***,0.2937**,4
num_highly_selective_filters,-0.3354,0.1322,-0.2049*,6
log_filter_selectivity_product,-0.3824,-0.0551,0.3060***,5
optimizer_est_cost_root,0.5539,0.4292***,0.2531**,4
log_max_est_rows,1.0515,0.1989*,0.3211***,5
log_sum_est_rows,-1.963,0.2467**,0.3086***,5
max_log_card_error,-0.0854,0.4461***,0.0803,4
