metric,error,true_label,embedding,type_number
num_tables,0.131,0.3250***,0.1667***,3
num_columns,0.7228,0.3679***,0.1879***,3
num_joins,0.6301,0.7482***,0.2885***,3
num_filters,0.7213,-0.3352***,-0.2627***,6
longest_path_len,-1.7328,0.1300***,-0.1292***,4
num_nodes,0.0617,0.2821***,0.0245,4
join_tree_diameter,-0.0466,0.6008***,0.0946**,4
num_blocking_ops,-0.1988,0.4185***,0.3160***,3
num_nested_loop,-0.4485,-0.4349***,-0.1376***,6
max_est_join_input_rows,6.2785**,0.7583***,0.3648***,3
sum_est_join_input_rows,-7.6531*,0.7984***,0.4041***,3
num_highly_selective_filters,0.6423,-0.6167***,0.0198,6
log_filter_selectivity_product,0.5517,0.6043***,0.1920***,3
optimizer_est_cost_root,0.00008291,0.8869***,0.3803***,3
log_max_est_rows,1.1243,0.8839***,0.4093***,3
log_sum_est_rows,-0.6389,0.8974***,0.4204***,3
max_log_card_error,4.379***,0.1928***,0.3001***,2
