metric,error,true_label,embedding,type_number
num_tables,-2.2762,0.2082,-0.0690,6
num_columns,0.0427,0.2649*,-0.0142,6
num_joins,-1.0938,0.7367***,0.2915*,4
num_filters,-0.2031,-0.2384*,-0.2883*,6
longest_path_len,-4.2936,0.1623,-0.1233,6
num_nodes,6.7336,0.2087,-0.0993,6
join_tree_diameter,0.4971,0.7444***,0.2427*,4
num_blocking_ops,-1.0786,0.3052*,0.1993,6
num_nested_loop,-0.6829,-0.3961***,-0.2608*,6
max_est_join_input_rows,-2.5548,0.7859***,0.3221**,4
sum_est_join_input_rows,2.0942,0.7969***,0.3412**,4
num_highly_selective_filters,-0.3816,-0.6924***,-0.1321,6
log_filter_selectivity_product,0.1103,0.6851***,0.2085,4
optimizer_est_cost_root,0.5491,0.8709***,0.2734*,4
log_max_est_rows,9.6248,0.8622***,0.2852*,4
log_sum_est_rows,-9.402,0.8677***,0.2895*,4
max_log_card_error,1.6474,0.1789,0.1529,6
