label,time,error,filtered
aimai-nan,402364.0,3.4213896546310596,False
bao-nan,2328508.0,1.7659143904172676,False
e2e-nan,10163836.0,7.9783919379833526,False
llm-Qwen-Qwen3-Embedding-4B,34859036.12,2.0903263924648057,False
llm-Qwen-Qwen3-Embedding-8B,63674670.27,0.42559548661851243,False
llm-answerdotai-ModernBERT-base,3810215.69,3.5222492642883836,False
llm-bert-base-uncased,2339050.4699999997,3.4895824393860857,False
llm-google-gemma-3-12b-pt,22014167.19,3.4607295946283516,False
llm-google-gemma-3-1b-pt,5300359.69,2.8867117212419426,False
llm-google-gemma-3-4b-pt,9419881.37,0.7737343670337292,False
llm-meta-llama-Llama-3.1-8B,14358866.29,0.21007927063669396,False
llm-meta-llama-Llama-3.2-1B,4066730.64,2.4144295461512346,False
llm-meta-llama-Llama-3.2-3B,7709599.56,0.7434411710816681,False
qf-nan,38681444.0,1.9858614239747951,False
alece-nan,23531452.0,-2.575761211611146,False
price-nan,127574024.0,-0.6231804081285288,False
postgres-nan,402364.0,0.0,False
llm-Qwen-Qwen3-Embedding-0.6B,6702999.61,20.415098734170673,True
llm-sentence-transformers-all-MiniLM-L6-v2,1553091.25,10.54100578135519,True
mscn-nan,158214268.0,14.193291365248465,True
