label,time,error,filtered
aimai-nan,402364.0,4.12,False
bao-nan,2328508.0,3.44,False
e2e-nan,10163836.0,4.22,False
llm-Qwen-Qwen3-Embedding-0.6B,6702999.61,5.62,False
llm-Qwen-Qwen3-Embedding-4B,34859036.12,3.33,False
llm-Qwen-Qwen3-Embedding-8B,63674670.27,3.02,False
llm-answerdotai-ModernBERT-base,3810215.69,3.45,False
llm-bert-base-uncased,2339050.4699999997,4.12,False
llm-google-gemma-3-12b-pt,22014167.19,3.98,False
llm-google-gemma-3-1b-pt,5300359.69,3.49,False
llm-google-gemma-3-4b-pt,9419881.37,3.01,False
llm-meta-llama-Llama-3.1-8B,14358866.29,2.65,False
llm-meta-llama-Llama-3.2-1B,4066730.64,4.0,False
llm-meta-llama-Llama-3.2-3B,7709599.56,3.22,False
llm-sentence-transformers-all-MiniLM-L6-v2,1553091.25,4.83,False
qf-nan,38681444.0,4.65,False
postgres-nan,402364.0,2.15,False
