method,seed,hv,hv_pct,n_frontier,true_found,budget
Multi-Fidelity,42,15035.2052,83.69447661177944,2,2,28
Random,42,14969.612200000001,83.3293487846982,2,2,27
Maximin (single-fidelity),42,14873.194,82.79263041753883,2,1,27
Multi-Fidelity,43,14969.612200000001,83.3293487846982,2,2,27
Random,43,17276.0376,96.1682202287084,3,3,27
Maximin (single-fidelity),43,17525.3936,97.55627710138793,2,2,27
Multi-Fidelity,44,14969.612200000001,83.3293487846982,2,2,27
Random,44,14873.194,82.79263041753883,2,1,27
Maximin (single-fidelity),44,17525.3936,97.55627710138793,2,2,27
Multi-Fidelity,45,13377.4024,74.46620630712523,3,2,27
Random,45,11405.9832,63.4921693098508,4,0,27
Maximin (single-fidelity),45,17525.3936,97.55627710138793,2,2,27
Multi-Fidelity,46,14969.612200000001,83.3293487846982,2,2,27
Random,46,17604.3846,97.99598579269608,3,2,27
Maximin (single-fidelity),46,17525.3936,97.55627710138793,2,2,27
Multi-Fidelity,47,15035.2052,83.69447661177944,2,2,28
Random,47,15030.018,83.66560171560704,3,2,27
Maximin (single-fidelity),47,14873.194,82.79263041753883,2,1,27
Multi-Fidelity,48,13956.6764,77.69077382049791,3,2,27
Random,48,17888.031600000002,99.57492581324873,3,3,27
Maximin (single-fidelity),48,13687.371999999998,76.19167284332936,6,0,27
Multi-Fidelity,49,13377.4024,74.46620630712523,3,2,27
Random,49,14269.126399999997,79.43004766940754,3,1,27
Maximin (single-fidelity),49,17648.958599999998,98.24410994869316,3,3,27
Multi-Fidelity,50,14969.612200000001,83.3293487846982,2,2,27
Random,50,11786.4282,65.60994187969696,3,0,27
Maximin (single-fidelity),50,17525.3936,97.55627710138793,2,2,27
Multi-Fidelity,51,14451.328400000002,80.44428730397001,4,2,28
Random,51,13162.212,73.26833453482115,4,0,27
Maximin (single-fidelity),51,14032.505999999998,78.11288436699583,5,1,27
Multi-Fidelity,52,13377.4024,74.46620630712523,3,2,28
Random,52,16897.4856,94.06098517013122,3,2,27
Maximin (single-fidelity),52,11728.05,65.28497571997086,4,1,27
Multi-Fidelity,53,13956.6764,77.69077382049791,3,2,28
Random,53,13748.609399999998,76.53255493132815,3,1,27
Maximin (single-fidelity),53,12499.268,69.5780123633007,5,1,27
Multi-Fidelity,54,13956.6764,77.69077382049791,3,2,27
Random,54,12478.074799999999,69.46003899625089,3,1,27
Maximin (single-fidelity),54,13794.581999999999,76.78846448788563,4,1,27
Multi-Fidelity,55,13377.4024,74.46620630712523,3,2,28
Random,55,13468.489399999999,74.9732481924689,4,0,27
Maximin (single-fidelity),55,11728.05,65.28497571997086,4,1,27
Multi-Fidelity,56,13377.4024,74.46620630712523,3,2,27
Random,56,14287.516399999997,79.53241683593481,4,2,27
Maximin (single-fidelity),56,17361.3836,96.64330445309326,3,2,27
Multi-Fidelity,57,13882.1514,77.27592541726541,3,2,27
Random,57,17311.339600000003,96.36473117578544,3,2,27
Maximin (single-fidelity),57,11876.839,66.1132196524574,3,1,27
Multi-Fidelity,58,14969.612200000001,83.3293487846982,2,2,27
Random,58,16768.2716,93.34170678602811,2,1,27
Maximin (single-fidelity),58,17525.3936,97.55627710138793,2,2,27
Multi-Fidelity,59,14969.612200000001,83.3293487846982,2,2,27
Random,59,11871.756200000002,66.0849259058764,4,0,27
Maximin (single-fidelity),59,17525.3936,97.55627710138793,2,2,27
Multi-Fidelity,60,16952.465600000007,94.36703502198932,5,2,29
Random,60,14357.278399999997,79.92075168070242,4,2,27
Maximin (single-fidelity),60,11372.157,63.30387350230402,6,0,27
Multi-Fidelity,61,13882.1514,77.27592541726541,3,2,27
Random,61,13039.572400000001,72.58565298858738,2,0,27
Maximin (single-fidelity),61,13779.321999999998,76.70351867596577,7,1,27
