method,seed,budget,hv_pct,n_frontier,n_true_found
Pareto Search,42,15,98.86112338912628,2,2
Pareto Search,43,15,98.86112338912628,2,2
Pareto Search,44,15,98.86112338912628,2,2
Pareto Search,45,15,98.86112338912628,2,2
Pareto Search,46,15,98.86112338912628,2,2
Pareto Search,47,15,98.86112338912628,2,2
Pareto Search,48,15,98.86112338912628,2,2
Pareto Search,49,15,98.86112338912628,2,2
Pareto Search,50,15,98.86112338912628,2,2
Pareto Search,51,15,98.86112338912628,2,2
Pareto Search,52,15,98.86112338912628,2,2
Pareto Search,53,15,98.86112338912628,2,2
Pareto Search,54,15,98.86112338912628,2,2
Pareto Search,55,15,98.86112338912628,2,2
Pareto Search,56,15,98.86112338912628,2,2
Pareto Search,57,15,98.86112338912628,2,2
Pareto Search,58,15,98.86112338912628,2,2
Pareto Search,59,15,98.86112338912628,2,2
Pareto Search,60,15,98.86112338912628,2,2
Pareto Search,61,15,98.86112338912628,2,2
Pareto Search,62,15,98.86112338912628,2,2
Pareto Search,63,15,98.86112338912628,2,2
Pareto Search,64,15,98.86112338912628,2,2
Pareto Search,65,15,98.86112338912628,2,2
Pareto Search,66,15,98.86112338912628,2,2
Pareto Search,67,15,98.86112338912628,2,2
Pareto Search,68,15,98.86112338912628,2,2
Pareto Search,69,15,98.86112338912628,2,2
Pareto Search,70,15,98.86112338912628,2,2
Pareto Search,71,15,98.86112338912628,2,2
Pareto Search,72,15,98.86112338912628,2,2
Pareto Search,73,15,98.86112338912628,2,2
Pareto Search,74,15,98.86112338912628,2,2
Pareto Search,75,15,98.86112338912628,2,2
Pareto Search,76,15,98.86112338912628,2,2
Pareto Search,77,15,98.86112338912628,2,2
Pareto Search,78,15,98.86112338912628,2,2
Pareto Search,79,15,98.86112338912628,2,2
Pareto Search,80,15,98.86112338912628,2,2
Pareto Search,81,15,98.86112338912628,2,2
Pareto Search,82,15,98.86112338912628,2,2
Pareto Search,83,15,98.86112338912628,2,2
Pareto Search,84,15,98.86112338912628,2,2
Pareto Search,85,15,98.86112338912628,2,2
Pareto Search,86,15,98.86112338912628,2,2
Pareto Search,87,15,98.86112338912628,2,2
Pareto Search,88,15,98.86112338912628,2,2
Pareto Search,89,15,98.86112338912628,2,2
Pareto Search,90,15,98.86112338912628,2,2
Pareto Search,91,15,98.86112338912628,2,2
Uniform Latency,42,15,80.60353211639861,5,0
Uniform Latency,43,15,89.26054637159778,5,1
Uniform Latency,44,15,90.32902968306024,3,2
Uniform Latency,45,15,91.01681940403435,4,1
Uniform Latency,46,15,90.64205272695689,4,1
Uniform Latency,47,15,85.09260529992133,5,0
Uniform Latency,48,15,87.77181759387388,5,1
Uniform Latency,49,15,90.62801269455343,4,1
Uniform Latency,50,15,94.23328543430807,4,2
Uniform Latency,51,15,92.78007767666733,4,3
Uniform Latency,52,15,97.9317189886123,3,1
Uniform Latency,53,15,89.78340864632331,7,0
Uniform Latency,54,15,81.63425726718924,6,0
Uniform Latency,55,15,94.73246156909335,5,3
Uniform Latency,56,15,82.91094823544647,4,0
Uniform Latency,57,15,77.32836255424006,6,0
Uniform Latency,58,15,96.54183729215544,2,1
Uniform Latency,59,15,85.32303960313831,5,0
Uniform Latency,60,15,85.50386255048986,3,1
Uniform Latency,61,15,89.6955522906221,3,1
Uniform Latency,62,15,95.62838720895977,3,2
Uniform Latency,63,15,84.41437409914629,2,1
Uniform Latency,64,15,85.60836875197887,2,1
Uniform Latency,65,15,89.45541788829901,4,0
Uniform Latency,66,15,91.13338770626743,4,1
Uniform Latency,67,15,83.08945632574088,5,0
Uniform Latency,68,15,86.95364028282042,3,0
Uniform Latency,69,15,88.54308351795697,5,0
Uniform Latency,70,15,91.91646052008198,4,1
Uniform Latency,71,15,82.20751698216662,5,0
Uniform Latency,72,15,92.6555890681104,3,1
Uniform Latency,73,15,82.17102584182227,5,0
Uniform Latency,74,15,90.35631450854453,3,1
Uniform Latency,75,15,85.94403995249002,2,1
Uniform Latency,76,15,86.61319036194666,2,2
Uniform Latency,77,15,85.74831478446508,6,0
Uniform Latency,78,15,89.81583912061143,4,1
Uniform Latency,79,15,93.84226183702516,3,3
Uniform Latency,80,15,86.40200840896006,5,0
Uniform Latency,81,15,86.28986044850166,4,0
Uniform Latency,82,15,86.4582296223993,2,1
Uniform Latency,83,15,78.57188993572261,8,0
Uniform Latency,84,15,84.13299999044746,5,0
Uniform Latency,85,15,89.12606273500441,5,1
Uniform Latency,86,15,96.88369060679757,3,1
Uniform Latency,87,15,86.63446567764487,7,0
Uniform Latency,88,15,83.73949848689924,6,0
Uniform Latency,89,15,77.20154946870758,6,0
Uniform Latency,90,15,90.20643430172605,4,2
Uniform Latency,91,15,90.99047999055088,4,1
Random,42,15,85.5914826143245,4,2
Random,43,15,92.39864027221998,5,2
Random,44,15,89.0233199195528,3,1
Random,45,15,89.39681739565309,7,0
Random,46,15,84.45786529388928,4,0
Random,47,15,93.60095773114912,6,2
Random,48,15,92.13235299657576,7,1
Random,49,15,90.32530290615189,3,1
Random,50,15,78.84215532193922,3,1
Random,51,15,76.32581580455164,6,0
Random,52,15,98.5429827757448,6,2
Random,53,15,99.29791383218105,3,2
Random,54,15,92.15512585779399,3,3
Random,55,15,96.84142183998559,5,2
Random,56,15,92.6613818603269,4,2
Random,57,15,89.79226296889036,8,0
Random,58,15,87.08886531162034,5,1
Random,59,15,98.94254361402807,4,2
Random,60,15,93.04254240903798,4,1
Random,61,15,89.99716879073162,7,2
Random,62,15,85.5816232216077,3,2
Random,63,15,87.98529649599661,5,0
Random,64,15,85.83549419939733,6,1
Random,65,15,81.75485468322022,2,0
Random,66,15,80.61946333280875,4,0
Random,67,15,89.23932698455917,5,1
Random,68,15,89.39705646548667,4,1
Random,69,15,90.70484950783796,5,2
Random,70,15,90.4593991338592,6,1
Random,71,15,88.6190748285688,4,1
Random,72,15,98.94254361402807,4,2
Random,73,15,92.99479922521662,5,1
Random,74,15,86.12820488068333,4,1
Random,75,15,96.95440297012485,6,2
Random,76,15,87.22146100575226,5,1
Random,77,15,85.38774171236219,3,2
Random,78,15,94.33354236177928,5,1
Random,79,15,90.9313633476256,4,1
Random,80,15,89.72098616452702,4,1
Random,81,15,84.89086388547031,6,0
Random,82,15,92.71721092354039,4,1
Random,83,15,89.95172836986407,5,1
Random,84,15,94.53923154451819,4,3
Random,85,15,86.50488507324965,5,1
Random,86,15,80.44198431369063,4,0
Random,87,15,84.25729296098577,4,2
Random,88,15,96.09710119533814,2,1
Random,89,15,85.23659723710098,4,3
Random,90,15,86.21565760299478,3,1
Random,91,15,94.56290565421007,4,2
Largest-N,all,15,75.43806634901637,6,1
