method,seed,budget,hv_pct,n_frontier,n_true_found
Random,64,12,79.04500400772262,5,0
Random,65,12,88.0187679927401,4,0
Random,66,12,84.75059309911518,4,0
Random,67,12,73.34202534422249,6,0
Random,68,12,89.37414809020437,6,1
Random,69,12,97.2696102099823,4,1
Random,70,12,84.4210598399075,3,1
Random,71,12,86.65895105065299,2,2
Random,72,12,88.37507262042325,4,1
Random,73,12,98.5726880854699,7,4
Random,74,12,96.6315702371316,4,1
Random,75,12,92.05858704290803,6,2
Random,76,12,93.18575742379551,4,1
Random,77,12,86.02944781058589,6,2
Random,78,12,83.69657432217598,7,0
Random,79,12,93.16068555545624,4,2
Random,80,12,88.92007109447954,4,3
Random,81,12,76.7275074998803,4,0
Random,82,12,87.81958362613354,6,1
Random,83,12,88.65227159378605,4,1
Random,84,12,97.85917144358781,3,2
Random,85,12,93.10776197732032,5,1
Random,86,12,80.16434180015303,2,0
Random,87,12,88.01991250525064,4,2
Random,88,12,86.83390380348118,2,2
Random,89,12,86.91226217590521,3,3
Random,90,12,84.3044728828753,2,2
Random,91,12,79.86281485877485,3,0
Largest-N,all,12,70.4039590791252,5,1
