method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Latency-Only Spacing,7,51,149942.07417644773,84.39507789536766,4,0,9
Random,7,42,171626.18340915898,96.60000501697596,4,1,9
Random,7,43,121908.17193997996,68.61616209769993,2,0,9
Random,7,44,154890.92097507167,87.18054230458092,3,1,9
Random,7,45,129031.44182248187,72.6255031709469,2,0,9
Random,7,46,154269.12916973556,86.83056603451618,4,0,9
Random,7,47,173010.23527552007,97.37902028480076,2,2,9
Random,7,48,131104.23048561485,73.7921747782763,1,1,9
Random,7,49,133994.11101285653,75.41874753008354,2,0,9
Random,7,50,173468.21203448306,97.63679305778152,3,2,9
Random,7,51,132564.6222442667,74.61415804685602,5,0,9
Uniform Latency,7,42,148806.95813625955,83.75617645854194,3,0,9
Uniform Latency,7,43,153829.51127407106,86.58312656995908,2,1,9
Uniform Latency,7,44,149036.8566215975,83.88557509921493,2,0,9
Uniform Latency,7,45,128079.00404595025,72.08942241587954,2,0,9
Uniform Latency,7,46,146227.6389647626,82.30440354162644,3,0,9
Uniform Latency,7,47,135262.6357502775,76.13273821358483,4,0,9
Uniform Latency,7,48,153507.42310156158,86.40183885230269,6,0,9
Uniform Latency,7,49,151130.90044986625,85.06421020196194,4,0,9
Uniform Latency,7,50,136970.98928243067,77.09428706643871,3,0,9
Uniform Latency,7,51,154759.6294850757,87.10664473056065,3,1,9
Largest-N,7,42,109402.67685264489,61.57742905487292,3,1,9
Largest-N,7,43,109402.67685264489,61.57742905487292,3,1,9
Largest-N,7,44,109402.67685264489,61.57742905487292,3,1,9
Largest-N,7,45,109402.67685264489,61.57742905487292,3,1,9
Largest-N,7,46,109402.67685264489,61.57742905487292,3,1,9
Largest-N,7,47,109402.67685264489,61.57742905487292,3,1,9
Largest-N,7,48,109402.67685264489,61.57742905487292,3,1,9
Largest-N,7,49,109402.67685264489,61.57742905487292,3,1,9
Largest-N,7,50,109402.67685264489,61.57742905487292,3,1,9
Largest-N,7,51,109402.67685264489,61.57742905487292,3,1,9
Pareto Search (Ours),10,42,159144.96804251897,89.57493784432309,3,1,9
