,epoch_50,epoch_100,epoch_150,epoch_199
EleutherAI/gpt-neo-125m,1.433764728858834,1.2912797361032549,1.2956364777474874,1.2418895975855482
EleutherAI/pythia-410m,1.364131427757251,1.4407150600463403,1.2970530015361033,1.2524663855059346
EleutherAI/pythia-410m-deduped,1.3087053704775196,1.2668382711867603,1.244095784626486,1.2350092040500946
FacebookAI/roberta-large,1.335519443022403,1.4582846146969106,1.2843240636316624,1.282095563203775
FacebookAI/xlm-roberta-large,1.434118055637102,1.2925853002086036,1.2739529024633547,1.2684291915983066
HuggingFaceTB/SmolLM-135M,1.3352468141808722,1.3769271606785989,1.2535150740203542,1.2219333858577432
HuggingFaceTB/SmolLM-135M-Instruct,1.3070605510070155,1.3240742546241306,1.2338348387539573,1.212833761583162
HuggingFaceTB/SmolLM-360M-Instruct,1.3820080289286536,1.2894676361412718,1.2516041902491701,1.2260008271451015
HuggingFaceTB/SmolLM2-135M,1.3401841890274926,1.2705472671778977,1.2201405313065172,1.2106365229705367
HuggingFaceTB/SmolLM2-135M-Instruct,1.346474626996209,1.290891518381977,1.2273569394577144,1.263522657273344
HuggingFaceTB/SmolLM2-360M,1.446262476809558,1.2779254816535839,1.2600569063950338,1.2138623836220812
HuggingFaceTB/SmolLM2-360M-Instruct,1.3403765945961807,1.2975147445157174,1.2367869219609195,1.2773822935719419
Qwen/Qwen1.5-0.5B,1.596971300951799,1.3379400368986898,1.3544094876433885,1.3314467890334714
Qwen/Qwen1.5-0.5B-Chat,1.375620443543537,1.3436786767372608,1.271748570469243,1.278600828424579
albert/albert-large-v1,2.051279757491455,1.7435997244983865,1.8274840920140814,1.7360904278912679
albert/albert-large-v2,4.177762649138394,3.3450923403386077,3.420957137518821,3.1837415301385317
albert/albert-xlarge-v1,1.5118297477505327,1.4527980218963887,1.4536175477068394,1.3792894376930651
albert/albert-xlarge-v2,2.126287519219815,1.9790674293343529,1.8565143231743166,1.7722683338479048
albert/albert-xxlarge-v1,1.723173199892425,1.7849708671900535,1.525638033183951,1.4431055923378546
albert/albert-xxlarge-v2,2.986723994014339,2.401524996713738,1.9241812596646037,1.77796883229209
answerdotai/ModernBERT-base,1.4242150917713288,1.2602923575073435,1.2516310212265724,1.2498380287324569
answerdotai/ModernBERT-large,1.573706662801335,1.2823362018667057,1.2956040274017655,1.2697098413496726
facebook/opt-350m,1.3771322065117182,1.300531829121147,1.2456044764110241,1.2505735824192257
google/electra-large-discriminator,1.4314632653405,1.3888196520621543,1.2556255001847985,1.2659739549508935
google/electra-large-generator,1.5469369108183568,1.436336984388936,1.3075640155728538,1.3344966566600764
google/mobilebert-uncased,21.293644204712216,21.773081466464483,21.843454692771154,21.883484715206365
intfloat/e5-small-v2,1.2803067347712973,1.2475196059836833,1.2384878643963193,1.2385619552909115
microsoft/deberta-v3-base,1.8264325812382476,1.7183838607018382,1.4957782008448723,1.5450150931072846
microsoft/deberta-v3-large,1.8877558513309654,1.7355862976787098,1.462683267725447,1.435327633290528
microsoft/deberta-v3-small,1.7126029001314182,1.6275834737245038,1.5027791632274914,1.4722722585235484
microsoft/deberta-v3-xsmall,1.6182983950391883,1.5847865887728367,1.488660144591838,1.6389791016894422
microsoft/mdeberta-v3-base,1.6192774416618296,1.4766167150591138,1.5263699865747713,1.4556497901487642
nomic/ai-modernbert-embed-base,1.5546510491189223,1.3301542395436805,1.2682298892773447,1.2674621774787318
prajjwal1/bert-tiny,1.4760163644264128,1.3160592301127767,1.3167266707884693,1.3666177683433058
sentence/transformers-paraphrase-MiniLM-L3-v2,1.5420266634313824,1.278871684073889,1.259083256213277,1.251102661482019
