label,time,error,filtered
aimai-nan,48960.0,-16.67847638574776,False
bao-nan,89200.0,-2.143182100282507,False
e2e-nan,922979.9999999999,-18.461435048704363,False
llm-Qwen-Qwen3-Embedding-0.6B,226385.38,-53.863463406119266,False
llm-Qwen-Qwen3-Embedding-4B,1246198.83,-49.93310623240538,False
llm-Qwen-Qwen3-Embedding-8B,2236333.8,-51.545122947924966,False
llm-answerdotai-ModernBERT-base,86933.22,-38.49211044993235,False
llm-bert-base-uncased,68737.16,-42.98571764541963,False
llm-google-gemma-3-12b-pt,694687.66,-61.07280246143711,False
llm-google-gemma-3-1b-pt,148880.77000000002,-58.1100690988711,False
llm-google-gemma-3-4b-pt,300385.43,-59.554642000685156,False
llm-meta-llama-Llama-3.1-8B,402422.99,-59.186812868545736,False
llm-meta-llama-Llama-3.2-1B,124969.44,-61.07280246143711,False
llm-meta-llama-Llama-3.2-3B,230370.23,-63.50081236479288,False
llm-sentence-transformers-all-MiniLM-L6-v2,63203.03,-58.82349569797349,False
qf-nan,546694.0,-68.98550724637681,False
postgres-nan,48960.0,0.0,False
