model,latency_ms,val_p90_e4,val_p90_e8,val_p90_e16,test_p90,time_warmup_ms,time_post1_ms,time_post2_ms,notes,time_warmup_5080_raw_ms,time_post1_5080_raw_ms,time_post2_5080_raw_ms,hardware
sentence-transformers/multi-qa-distilbert-cos-v1,10.13,4.237451,3.755691,2.433891,4.650962,4029314.06599,5374618.51,10703009.21,ms-3logs,,,,h100_or_a100_corrected
google/bert_uncased_L-6_H-512_A-8,12.75,2.917665,2.249992,2.131603,3.834239,4108003.847716,3871435.88,7693213.73,ms-3logs,,,,h100_or_a100_corrected
HuggingFaceTB/SmolLM-135M,36.78,2.93022,2.047867,1.667435,2.654002,12329580.431472,13995958.91,27987743.3,ms-3logs,,,,h100_or_a100_corrected
google/mobilebert-uncased,47.89,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
HuggingFaceTB/SmolLM-360M-Instruct,45.7,2.673465,2.139733,30.940705,168.780084,21351599.593909,24011312.7,48075796.65,ms-3logs,,,,h100_or_a100_corrected
google/electra-large-discriminator,31.86,3.61844,27.145575,29.2164,153.908603,14743783.07,17039721.04,34144694.79,rs-e16-16vals,,,,h100_or_a100_corrected
distilbert/distilbert-base-multilingual-cased,11.3,3.437621,2.913034,4.57537,13.812587,4083554.192893,5538103.39,11137065.63,ms-3logs,,,,h100_or_a100_corrected
FacebookAI/xlm-roberta-large,28.57,5.281296,25350.699882,25350.699882,193046.963567,11187887.593909,12663817.63,25340170.34,ms-r1+e16,,,,h100_or_a100_corrected
answerdotai/ModernBERT-base,36.38,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-2_H-128_A-2,8.94,4.389591,3.320578,2.592404,5.315291,2386896.38,2316618.98,4590753.84,rs-e16-16vals,,,,h100_or_a100_corrected
EleutherAI/pythia-14m-deduped,12.26,15425.647086,15425.647086,15425.647086,5242.334448,2532014.01,2675395.45,5345422.62,rs-e16-16vals,,,,h100_or_a100_corrected
google-bert/bert-base-uncased,19.49,3.407472,2.875152,2.235173,3.037292,5401518.4,6590405.02,13189383.45,rs-e16-16vals,,,,h100_or_a100_corrected
sentence-transformers/multi-qa-distilbert-dot-v1,11.49,3.914736,2.6355,2.025957,3.605076,3970656.3,5133702.55,10286525.64,rs-e16-16vals,,,,h100_or_a100_corrected
google/bert_uncased_L-10_H-512_A-8,16.15,25350.699882,25350.699882,25350.699882,193046.963567,3814075.36,4333453.85,8666912.04,rs-e16-16vals,,,,h100_or_a100_corrected
albert/albert-xlarge-v2,73.0,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
HuggingFaceTB/SmolLM2-135M,36.48,2.726653,2.308817,1.757031,2.810261,17606822.47,18506017.49,37085331.15,rs-e16-16vals,,,,h100_or_a100_corrected
google/bert_uncased_L-2_H-512_A-8,9.79,,,,4.805671,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-2_H-256_A-4,8.56,3.93852,2.785068,2.122283,4.536384,569086.9125,663765.9975,1321583.0225,ep-e16-16vals,2276347.65,2655063.99,5286332.09,gtx5080_corrected_4.0x
google/bert_uncased_L-2_H-768_A-12,9.4,3.318272,2.547875,2.140369,3.441706,1301409.8875,1914657.5575,3835787.0075,ep-e16-16vals,5205639.55,7658630.23,15343148.03,gtx5080_corrected_4.0x
google/bert_uncased_L-4_H-128_A-2,11.45,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-4_H-256_A-4,12.54,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-4_H-512_A-8,12.41,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-4_H-768_A-12,11.32,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-6_H-128_A-2,13.71,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-6_H-256_A-4,12.73,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-6_H-768_A-12,13.19,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-8_H-256_A-4,14.72,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-8_H-512_A-8,14.72,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-8_H-768_A-12,15.06,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-10_H-128_A-2,15.61,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-10_H-256_A-4,16.12,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-12_H-128_A-2,18.09,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-12_H-256_A-4,17.52,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-12_H-512_A-8,17.91,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/bert_uncased_L-12_H-768_A-12,17.96,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
HuggingFaceTB/SmolLM2-135M-Instruct,37.65,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
HuggingFaceTB/SmolLM2-360M,45.17,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
HuggingFaceTB/SmolLM2-360M-Instruct,45.84,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
EleutherAI/pythia-14m,12.06,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
EleutherAI/pythia-31m-deduped,11.92,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
EleutherAI/pythia-70m,11.87,,,,,1829361.08,0.0,0.0,ep-e16-1vals,,,,h100_or_a100_corrected
EleutherAI/pythia-160m,18.42,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
EleutherAI/pythia-160m-deduped,18.41,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
EleutherAI/pythia-410m,36.77,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
Qwen/Qwen1.5-0.5B,76.25,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
Qwen/Qwen1.5-0.5B-Chat,77.04,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
Qwen/Qwen2.5-0.5B,84.6,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
Qwen/Qwen2.5-0.5B-Instruct,83.98,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
Qwen/Qwen2.5-Coder-0.5B-Instruct,83.99,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
